id,external_gene_name,Regulation_Grouping_2,Integrated padj (old-young),Integrated pval (old-young),Integrated diff (old-young),mannwhitneyu stat (old-young),Integrated mean (young),Integrated mean (old),Protein-LogFC mean (old-young),RNA-LogFC mean (old-young),CpG-LogFC mean (old-young),hgnc_symbol,entrezgene_id,Locus,logFC_rna,padj_rna,CpG_Beta_diff,padj_meth,logFC_protein,padj_protein
ENSG00000056736,IL17RB,TPDS_TMDE,0.4959508156379721,0.4959508156379721,0.006228327751159668,223.0,1.3004200000000001,1.3066483999999998,-0.057377054095616026,-0.16763482174503694,0.0031067693893183927,IL17RB,55540.0,cg05331498,-1.5049269465843,1.47584537079233e-17,0.0579434170597402,1.43483697476852e-10,-0.227970557863863,1.5251545518522498e-06
ENSG00000058335,RASGRF1,TPDS_TMDE,0.3992603929919977,0.011804158311761627,-0.3967869281768799,112.0,0.21905850000000002,-0.17772844,0.0,-0.4240766886684947,0.014887458789416582,RASGRF1,5923.0,cg13403566,-1.97091035808281,7.05195553599045e-53,-0.13731615703171,1.1666200476746702e-47,0.0,1.0
ENSG00000058404,CAMK2B,TPDS_TMDE,0.4874433784787394,0.3239257898439022,-0.03907918930053711,201.0,1.1560823,1.1170031,0.046037918020332635,0.3087015690827901,0.0,CAMK2B,816.0,0,-1.59578906425403,6.59134445214882e-15,0.0,1.0,-0.26003898185873797,6.91832184852524e-07
ENSG00000060237,WNK1,TPDS_TMDE,0.4941402460140787,0.4235384133489907,0.09980237483978273,214.0,0.9377928,1.0375952,0.023574303350967333,0.22221286337910892,0.03783000049372956,WNK1,65125.0,cg21230547,-1.19201102122857,3.782792826048819e-91,-0.1940877894331294,3.0840214550126896e-49,0.267283143953014,7.60782460315801e-39
ENSG00000060709,RIMBP2,TPDS_TMDE,0.4958860728222068,0.4797624180815948,-0.0365566611289978,221.0,-0.9295493,-0.96610594,0.0,-0.0709442210832929,-0.009166671975955276,RIMBP2,23504.0,cg15001406,-3.95420198620088,7.440740391472699e-94,-0.4041336609558378,2.3232911523077083e-82,0.0,1.0
ENSG00000062282,DGAT2,TPDS_TMDE,0.493857217624903,0.3998446000803819,-0.0813988670706749,211.0,0.10564152,0.024242656,0.0,0.031039132169811467,0.0318009499625401,DGAT2,84649.0,cg24262691,-1.01122468330664,9.514893438544269e-10,-0.0939706476605832,6.310016419752392e-46,0.0,1.0
ENSG00000063127,SLC6A16,TPDS_TMDE,0.4956948784583228,0.4555505749212052,-0.11689899116754532,218.0,-0.01602783,-0.13292682,0.0,0.2275749703341674,-0.002500386913976429,SLC6A16,28968.0,cg10186564,-1.09574166522925,1.80844816332335e-13,-0.1111941801545616,5.4487533912063605e-73,0.0,1.0
ENSG00000065717,TLE2,TPDS_TMDE,0.4899354959785859,0.3688317219726115,0.05241787433624268,207.0,1.1190493000000001,1.1714672,-0.12380539902998207,-0.1805303790339292,0.0029935128432463237,TLE2,7089.0,cg07933682,-1.312079299141,3.8108437498440997e-42,-0.1256717922112461,2.5904615760531398e-27,-0.0827642994126821,0.0093717010161936
ENSG00000066032,CTNNA2,TPDS_TMDE,0.4785085754412505,0.27463696407367544,0.00876462459564209,194.0,0.95371455,0.9624792,0.0786737525807018,0.10231270029212672,0.0,CTNNA2,1496.0,0,-1.7289724135276499,1.1468108725425501e-10,0.0,1.0,-0.29769827320081604,1.3270723009468099e-27
ENSG00000066382,MPPED2,TPDS_TMDE,0.44784811047618606,0.14790813076821485,-0.0241163969039917,172.0,1.2529518999999998,1.2288355,-0.011176997527061359,-0.3554416184156373,0.0,MPPED2,744.0,0,-2.94086546802148,1.1398223620793098e-104,0.0,1.0,-0.486618530657656,3.752625501324969e-35
ENSG00000067842,ATP2B3,TPDS_TMDE,0.4835079984784394,0.3166636891443301,0.029294729232788086,200.0,1.096128,1.1254226999999999,-0.004714743987538239,0.057502901080562226,0.07167141079686418,ATP2B3,492.0,cg08719422,-2.5505667704045,1.94918992293613e-16,-0.3267539162911528,8.874445284900458e-54,0.5483430749836821,1.8839163015232398e-16
ENSG00000069018,TRPC7,TPDS_TMDE,0.4540175862434261,0.16242319282511306,0.2000882625579834,175.0,-0.7460380999999999,-0.5459498,0.0,0.2645223938338295,0.016528441268173488,TRPC7,57113.0,cg00118989,-3.43390299891235,9.40279990561329e-65,-0.2347942800289438,4.0815933456519796e-36,0.0,1.0
ENSG00000069206,ADAM7,TPDS_TMDE,0.44784811047618606,0.13428813535256795,0.13648898899555206,169.0,-0.21740207,-0.08091308,0.0,0.22372563904129306,0.021038664720657144,ADAM7,8756.0,cg08383526,-1.20378013953669,0.0001991184637388,-0.1276828520827846,3.2269424645431794e-57,0.0,1.0
ENSG00000069966,GNB5,TPDS_TMDE,0.4933351156087475,0.3842455196220244,0.0010344982147216797,209.0,1.3397794,1.3408139,0.0846145140755688,0.1969099970246282,-0.0049925746111424635,GNB5,10681.0,cg11841246,-1.2693806817725302,2.797831802023939e-152,-0.0683353936675953,1.9833699650927797e-51,-0.26936217639277305,9.60271262171135e-16
ENSG00000070159,PTPN3,TPDS_TMDE,0.4706227823808098,0.229362447755787,-0.0404205322265625,187.0,1.4610375,1.420617,0.0883138888888911,-0.0378762389704792,0.0,PTPN3,5774.0,0,-1.06699194269792,3.77628245557171e-57,0.0,1.0,-0.273050010787489,1.08513914324732e-17
ENSG00000070182,SPTB,TPDS_TMDE,0.3992603929919977,0.006823107961377264,-0.15012216567993164,102.0,1.3232713,1.1731491000000003,-0.02709988536155317,-0.2769707822658805,0.028144903259936373,SPTB,6710.0,cg22797773,-1.9587572906756001,1.3890809313261298e-58,-0.2161821675052865,5.4969040855899605e-68,1.18324776579168,2.1296349169672e-27
ENSG00000070388,FGF22,TPDS_TMDE,0.44784811047618606,0.1387290444440082,0.23381903767585754,170.0,-0.29887646,-0.065057434,0.0,0.04931348781407445,-0.02387942664300851,FGF22,27006.0,cg22189019,-1.02654978481773,2.7945400943149895e-11,-0.0616691931976586,2.3786008888302204e-12,0.0,1.0
ENSG00000070731,ST6GALNAC2,TPDS_TMDE,0.43749136245211095,0.09181736314609412,0.284775048494339,158.0,-0.6061035,-0.32132843,0.0,0.3540336911375843,0.025270404456708476,ST6GALNAC2,10610.0,cg06150430,-1.8999918999365402,9.251955428292939e-52,-0.0659979055832251,3.02275775490775e-44,0.0,1.0
ENSG00000070985,TRPM5,TPDS_TMDE,0.4875730795361804,0.3386505079307971,-0.002197392750531435,203.0,0.0020898767000000003,-0.000107516134,0.0,0.047122381627915384,0.01700701204634433,TRPM5,29850.0,cg02743674,-1.72245706003342,8.68446923943204e-26,-0.222178478035088,7.20197186340404e-64,0.0,1.0
ENSG00000071991,CDH19,TPDS_TMDE,0.4706227823808098,0.2355630030536807,-0.1424606442451477,188.0,-0.6454818,-0.78794247,0.0,-0.2110957958114379,-0.023724835334443653,CDH19,28513.0,cg15728909,-3.37967340372797,2.36421794375566e-20,-0.1011414076526391,2.3141467889235895e-13,0.0,1.0
ENSG00000075035,WSCD2,TPDS_TMDE,0.43749136245211095,0.09869091986521587,-0.2411227226257324,160.0,-0.40490878,-0.6460315,0.0,-0.2554488753406481,-0.0521683037647899,WSCD2,9671.0,cg00736201,-2.15968748689862,2.83714729032843e-21,-0.2463776582112896,1.2613977287426397e-79,0.0,1.0
ENSG00000075290,WNT8B,TPDS_TMDE,0.4958860728222068,0.4797624180815948,-0.03918786719441414,221.0,0.028142486,-0.011045381000000002,0.0,0.02537579702582637,0.0010744687719809046,WNT8B,7479.0,cg07570687,-1.24791431117664,4.4064816680537694e-35,-0.1155753594921532,7.152942872071569e-28,0.0,1.0
ENSG00000075673,ATP12A,TPDS_TMDE,0.493857217624903,0.41560519370546417,-0.03664076328277588,213.0,-1.1508545000000001,-1.1874951999999999,0.0,-0.04754833200025743,0.017065054164278934,ATP12A,479.0,cg23781398,-6.45472136314061,8.482066121285218e-72,0.0885027292555569,1.23694602321883e-36,0.0,1.0
ENSG00000075891,PAX2,TPDS_TMDE,0.4435651566498163,0.1299458487086786,-0.0861746072769165,168.0,1.4000431999999998,1.3138686000000002,-0.2120235758377447,-0.3284416641781673,0.0,PAX2,5076.0,0,-1.2401017135088601,5.3448563945317495e-18,0.0,1.0,0.19231938391466,6.77763083894633e-06
ENSG00000076382,SPAG5,TPDS_TMDE,0.4884820176963333,0.3612014919585563,0.0037102699279785156,206.0,1.3451056000000001,1.3488159,-0.013334140211640286,0.6314183321073119,-0.01867197640764183,SPAG5,10615.0,cg06774283,-2.05935519680595,2.1005388438583597e-50,-0.1176031433349352,3.24439428962666e-33,0.024822078389067,0.583063362038811
ENSG00000076555,ACACB,TPDS_TMDE,0.493857217624903,0.41560519370546417,0.023392081260681152,213.0,1.2487783000000001,1.2721704,0.06128751704481125,0.2728425186996501,-0.0043615468336829786,ACACB,32.0,cg23921871,-1.1302413526014499,1.9998372517506702e-58,-0.11716075560332401,6.524786774836239e-58,-0.16100859922500596,2.2018998689823302e-05
ENSG00000076826,CAMSAP3,TPDS_TMDE,0.4786282949114594,0.2814469198951187,-0.046710848808288574,195.0,1.5232961999999999,1.4765853999999998,0.23012480283643805,0.16815505573330336,-0.00043729997530431516,CAMSAP3,57662.0,cg03131092,-1.3858324397748203,3.4046849809561293e-40,-0.0289124015034528,0.0158715903190577,-0.45475002212220794,2.0329184515241597e-38
ENSG00000077942,FBLN1,TPDS_TMDE,0.4435651566498163,0.1299458487086786,0.09023821353912354,168.0,1.0922005,1.1824386999999998,-0.2457155743053505,-0.2493070992991981,-0.024693092205782315,FBLN1,2192.0,cg07072704,-1.5633331602666398,2.7455709830765e-15,-0.0630181360518812,5.07466856976398e-07,-0.0796144910921949,0.115060284759831
ENSG00000078328,RBFOX1,TPDS_TMDE,0.4941402460140787,0.4315027500404631,-0.02697277069091797,215.0,-1.0999888999999998,-1.1269617,0.0,-0.07535434446105782,-0.022259632772376803,RBFOX1,54715.0,cg02909809,-3.4038977868857403,5.57513921450183e-58,-0.2522246456438897,1.5172030763665596e-40,0.0,1.0
ENSG00000079101,CLUL1,TPDS_TMDE,0.4941402460140787,0.4315027500404631,0.04806700348854065,215.0,-0.47061329999999996,-0.4225463,0.0,0.10672502359931156,0.021772073449607632,CLUL1,27098.0,cg23713900,-2.44769207095027,1.0304447561443798e-80,-0.1568346097403489,2.41384291820986e-43,0.0,1.0
ENSG00000079385,CEACAM1,TPDS_TMDE,0.4435651566498163,0.1299458487086786,-0.06591343879699707,168.0,1.3788805,1.3129671,-0.02816963148633833,-0.1088083817457437,0.021457138550599192,CEACAM1,634.0,cg11811510,-1.5581900263721,1.34092275347198e-46,-0.1851502443027218,6.54938494940135e-30,-0.30659999927024106,1.1250076573432e-10
ENSG00000079557,AFM,TPDS_TMDE,0.43749136245211095,0.11355307107936168,-0.16100502014160156,164.0,1.344203,1.183198,-0.3212251072950329,0.9400409002291674,0.01779755985083271,AFM,173.0,cg00797183,-5.71636743882155,1.2598888992276097e-82,-0.0549250848937269,1.6177739653210099e-56,0.173347345525469,0.0123011022953779
ENSG00000080511,RDH8,TPDS_TMDE,0.4958860728222068,0.487854115304664,0.038864850997924805,222.0,-0.65618265,-0.6173178,0.0,0.08325212498844348,-0.0034999949753358323,RDH8,50700.0,cg25661884,-8.56992905725789,5.010355416477089e-69,-0.0671630818245324,1.66205074509059e-11,0.0,1.0
ENSG00000081051,AFP,TPDS_TMDE,0.4274642025865015,0.06784351447980354,0.4671705365180969,150.0,-1.1744803,-0.7073098000000001,0.0,0.5113180069959162,0.07499145306231697,AFP,174.0,cg02199826,-3.34325601314733,1.2465211121678197e-57,-0.0968789858230174,1.18237978706868e-43,0.0,1.0
ENSG00000081248,CACNA1S,TPDS_TMDE,0.4933351156087475,0.3842455196220244,-0.06679582595825195,209.0,-0.21686164,-0.28365746,0.0,0.03811453393420328,-0.0600526840899965,CACNA1S,779.0,cg22815214,-2.04657795214992,1.9975921802840198e-26,-0.2864574312236874,8.751292535408439e-50,0.0,1.0
ENSG00000081803,CADPS2,TPDS_TMDE,0.4224836532449716,0.04314093642290202,0.07244741916656494,139.0,1.2421069,1.3145543,0.04821674711760593,0.1755798731866014,0.015390340897933646,CADPS2,93664.0,cg03368627,-1.00192089905834,4.912437225918e-71,-0.1393920859472882,8.312712929471382e-20,-0.30051215419349997,2.0508526681718e-30
ENSG00000082293,COL19A1,TPDS_TMDE,0.4706227823808098,0.2355630030536807,0.20654861629009247,188.0,-0.43267518,-0.22612657,0.0,0.5395269246131678,-0.0015354946783224313,COL19A1,1310.0,cg00420895,-2.28993545589066,1.24625583144732e-32,-0.0412913012778759,1.31739069196952e-29,0.0,1.0
ENSG00000084453,SLCO1A2,TPDS_TMDE,0.4681046648115953,0.20549635839647856,-0.1228332370519638,183.0,-0.0857808,-0.20861404,0.0,0.15589033039625844,0.05082771272528844,SLCO1A2,6579.0,cg10832076,-1.05398134094286,0.0058976754438546,-0.2546427629439646,6.050087978426879e-43,0.0,1.0
ENSG00000085552,IGSF9,TPDS_TMDE,0.3992603929919977,0.01967801984184589,0.3142431378364563,122.0,-0.27693957,0.037303574,0.0,0.3705931458365496,-0.017170063461692975,IGSF9,57549.0,cg07379893,-1.2631476886783002,7.732394045360061e-19,-0.1242814649774607,1.19168811198358e-28,0.0,1.0
ENSG00000087510,TFAP2C,TPDS_TMDE,0.493857217624903,0.4077062251624832,0.06816577911376953,212.0,1.5680253999999998,1.6361911,-0.17693707892416205,-0.003597754425368138,0.028226023800064733,TFAP2C,7022.0,cg12521353,-1.63940504579636,3.30804501472807e-08,0.0890461539883533,5.848948038727341e-31,0.251758447800552,0.0003181785416384
ENSG00000088280,ASAP3,TPDS_TMDE,0.44784811047618606,0.14326894474657434,-0.05500996112823486,171.0,1.3923483,1.3373383,-0.3131226598704576,0.3958150096718678,-0.0003210168629839693,ASAP3,55616.0,cg27447006,-1.16686879142477,1.5904517098468098e-26,-0.2470742195840318,5.939304046620751e-45,-0.48386417478291205,3.503989243648229e-26
ENSG00000088538,DOCK3,TPDS_TMDE,0.4785085754412505,0.27463696407367544,0.17400634288787842,194.0,-0.56224024,-0.3882339,0.0,0.2763000838997989,0.09619565017346067,DOCK3,1795.0,cg18501026,-1.95962503674009,8.574044749339719e-65,-0.0715481829113866,6.85745202534094e-14,0.0,1.0
ENSG00000088926,F11,TPDS_TMDE,0.4958860728222068,0.4797624180815948,-0.009098172187805176,221.0,1.3640716,1.3549733999999998,-0.3212200774686132,0.18839359421607596,0.0,F11,2160.0,0,-4.46076632413866,3.0606862293284292e-74,0.0,1.0,-0.42399926933137894,1.1576439825793e-11
ENSG00000089101,CFAP61,TPDS_TMDE,0.4706227823808098,0.2482369464811455,0.1366708129644394,190.0,-0.3775288,-0.24085797,0.0,0.08824472078102175,0.02212115839264581,CFAP61,26074.0,cg11382945,-1.6327614308791798,7.93074640047351e-46,-0.2527858948949821,1.29515279580775e-39,0.0,1.0
ENSG00000089250,NOS1,TPDS_TMDE,0.4642741244666783,0.1997686549641834,-0.06931829452514647,182.0,1.3158838,1.2465655,-0.4556609501763657,-0.035114314988009536,-0.008246225212742597,NOS1,4842.0,cg02397205,-4.22433113989887,3.2605896413436092e-99,-0.23059259304511603,5.49135636644214e-48,-0.353406552798753,3.3808680277601103e-06
ENSG00000090512,FETUB,TPDS_TMDE,0.4813222167397909,0.29530625446206593,-0.052244901657104485,197.0,1.1186895000000001,1.0664446,-0.2682873506324999,0.15837733916747254,0.037832912795392526,FETUB,26998.0,cg15061231,-4.6564551862846395,2.5680565079786405e-32,-0.1837169028852789,1.3233266446590398e-72,0.0515817831412602,0.41078100377759097
ENSG00000090565,RAB11FIP3,TPDS_TMDE,0.4786282949114594,0.2814469198951187,0.1258733719587326,195.0,0.13434638,0.26021975,0.0,0.2078725391881977,-0.06391458689659779,RAB11FIP3,9727.0,cg09555736,-1.43987899526704,3.5121266309419304e-48,-0.2850615845404621,1.2509683103900898e-55,0.0,1.0
ENSG00000091137,SLC26A4,TPDS_TMDE,0.4526901209733112,0.15748515476113786,0.20632845163345334,174.0,-0.8351917999999999,-0.62886333,0.0,0.2591613855907733,-4.2737732442704734e-05,SLC26A4,5172.0,cg20898273,-3.54542618263178,4.6717576817090984e-182,-0.1122222801621153,1.16203579765142e-38,0.0,1.0
ENSG00000091181,IL5RA,TPDS_TMDE,0.4785085754412505,0.27463696407367544,-0.0686102956533432,194.0,0.14662437,0.078014076,0.0,-0.09393041301604554,-0.03968864494139526,IL5RA,3568.0,cg25791578,-1.36349556401254,7.041073593197428e-22,-0.2037502961480657,1.2179768714532698e-60,0.0,1.0
ENSG00000091262,ABCC6,TPDS_TMDE,0.43749136245211095,0.10969591602365897,0.0123462975025177,163.0,0.43014243,0.44248873,0.0,0.41918809327203466,-0.050994942221134786,ABCC6,368.0,cg10024478,-1.5294296152854099,8.41516081742014e-27,-0.1179438593709784,1.2345158272648699e-17,0.0,1.0
ENSG00000091583,APOH,TPDS_TMDE,0.3992603929919977,0.00952262573633184,0.22981905937194824,108.0,0.8674675,1.0972866000000001,-0.09350834052890306,0.9352744039026876,-0.01708315782278219,APOH,350.0,cg16481618,-3.46706521350518,2.38980401599058e-30,-0.2233710818732798,1.5271484389211602e-44,-0.370470796724997,7.15034878066663e-10
ENSG00000091622,PITPNM3,TPDS_TMDE,0.4835079984784394,0.3166636891443301,-0.07986421883106233,200.0,0.20923617,0.12937196,0.0,0.11387693165146008,0.07596995483431432,PITPNM3,83394.0,cg06928695,-1.2896089797324801,1.3033881184571497e-70,-0.0930066185264317,1.10626461991455e-20,0.0,1.0
ENSG00000091704,CPA1,TPDS_TMDE,0.4326181087645409,0.08530497919300806,0.07510869204998016,156.0,-0.12401605,-0.04890735,0.0,-0.0280115283051045,0.08088546531986977,CPA1,1357.0,cg14761227,-1.7710664696993998,1.9570137899442602e-15,-0.1155007583375652,2.6762891021118893e-30,0.0,1.0
