id,external_gene_name,Regulation_Grouping_2,Integrated padj (PBRM1-BAP1),Integrated pval (PBRM1-BAP1),Integrated diff (PBRM1-BAP1),mannwhitneyu stat (PBRM1-BAP1),Integrated mean (BAP1),Integrated mean (PBRM1),Protein-LogFC mean (PBRM1-BAP1),RNA-LogFC mean (PBRM1-BAP1),CpG-LogFC mean (PBRM1-BAP1),hgnc_symbol,entrezgene_id,Locus,logFC_rna,padj_rna,CpG_Beta_diff,padj_meth,logFC_protein,padj_protein
ENSG00000047936,ROS1,TPDS_TMDE,0.4376194791420031,0.3128054727669952,-0.09379491209983826,194.0,-0.2768102,-0.3706051,0.0,-0.0692867302827398,-0.00977740353882145,ROS1,6098.0,cg22785136,-1.6904802957067702,3.39171728222124e-05,-0.1152075203616751,4.566645774307819e-59,0.0,1.0
ENSG00000048540,LMO3,TPDS_TMDE,0.06084977745894651,0.0033853045206033625,-0.3353946805000305,103.0,0.43980363,0.10440896,0.0,-0.5094057750171306,-0.06329179250066437,LMO3,55885.0,cg05355757,-1.33091064230261,1.2998293782065198e-21,-0.1022028170999366,1.10200389269571e-08,0.0,1.0
ENSG00000049089,COL9A2,TPDS_TMDE,0.265766204586528,0.08983646352220664,0.012318968772888184,159.0,1.1003034,1.1126223999999998,-0.3418689919712965,-0.3910341056482325,0.0,COL9A2,1298.0,0,-1.71238515214059,1.38546515680506e-36,0.0,1.0,0.345041522421482,0.0262525391316337
ENSG00000050438,SLC4A8,TPDS_TMDE,0.4573199677042834,0.3848572967652243,-0.027205996215343475,202.0,0.037445,0.010239005,0.0,-0.12599351510372436,0.015525413873985816,SLC4A8,9498.0,cg01904393,-1.3679384025287,1.4067211647698695e-48,-0.29361324103008596,2.9470595550665795e-90,0.0,1.0
ENSG00000053108,FSTL4,TPDS_TMDE,0.472311737667778,0.4131064635094227,0.08541589975357056,205.0,-0.88271135,-0.79729545,0.0,0.06253914097086044,-0.06818727124500351,FSTL4,23105.0,cg25322094,-3.3690294480301803,7.0421990012276e-77,-0.2655479734343944,4.045032028953539e-39,0.0,1.0
ENSG00000053770,AP5M1,TPDS_TMDE,0.30522622771351826,0.12080080279929385,-0.04161691665649414,166.0,1.3314916,1.2898747,-0.06892322864031836,0.16242358561440362,-0.011157467771541498,AP5M1,55745.0,cg11094161,-1.03424893865524,7.474761849856597e-144,-0.0220278783835829,1.12951846013252e-06,0.0304287471658815,0.23515211190117702
ENSG00000054598,FOXC1,TPDS_TMDE,0.4263397382398251,0.2957356634973435,0.03447294235229492,192.0,1.1485851999999999,1.1830581,-0.029340922475930512,-0.5141802402953564,0.0,FOXC1,2296.0,0,-1.68016520986514,4.14474906127501e-68,0.0,1.0,-0.335905562565683,1.2240052791645e-16
ENSG00000056736,IL17RB,TPDS_TMDE,0.14803204187528995,0.02272604586536141,-0.09842908382415773,132.0,1.3755462999999999,1.2771173,-0.3646478962786861,-1.6451764908960516,-0.0603206648940357,IL17RB,55540.0,cg05331498,-1.5049269465843,1.47584537079233e-17,0.0579434170597402,1.43483697476852e-10,-0.227970557863863,1.5251545518522498e-06
ENSG00000058335,RASGRF1,TPDS_TMDE,0.4451227560720383,0.339171001457708,-0.0003504455089569092,197.0,-0.13360086,-0.1339513,0.0,0.09794135507838164,-0.02242960490794416,RASGRF1,5923.0,cg13403566,-1.97091035808281,7.05195553599045e-53,-0.13731615703171,1.1666200476746702e-47,0.0,1.0
ENSG00000058404,CAMK2B,TPDS_TMDE,0.4937559663109984,0.4805427784801407,0.06283104419708252,212.0,1.1223028999999998,1.1851339,0.02114312895173015,-0.5146347529631223,0.0,CAMK2B,816.0,0,-1.59578906425403,6.59134445214882e-15,0.0,1.0,-0.26003898185873797,6.91832184852524e-07
ENSG00000060237,WNK1,TPDS_TMDE,0.05342125149926071,0.002708683174610402,-0.14504826068878174,100.0,1.1682781999999998,1.0232299999999999,-0.11332309332642675,-0.3568390633531653,0.12105515354358297,WNK1,65125.0,cg21230547,-1.19201102122857,3.782792826048819e-91,-0.1940877894331294,3.0840214550126896e-49,0.267283143953014,7.60782460315801e-39
ENSG00000060709,RIMBP2,TPDS_TMDE,0.4393889198690334,0.32149654066473643,-0.0015970468521118164,195.0,-0.93873906,-0.9403360999999999,0.0,-0.019666707895698018,0.032304536142926665,RIMBP2,23504.0,cg15001406,-3.95420198620088,7.440740391472699e-94,-0.4041336609558378,2.3232911523077083e-82,0.0,1.0
ENSG00000062282,DGAT2,TPDS_TMDE,0.0787523102015756,0.005989612325190256,-0.3916100859642029,111.0,0.25693688,-0.13467322,0.0,-0.4969923811054254,-0.0005849677779983102,DGAT2,84649.0,cg24262691,-1.01122468330664,9.514893438544269e-10,-0.0939706476605832,6.310016419752392e-46,0.0,1.0
ENSG00000063127,SLC6A16,TPDS_TMDE,0.4871355848654149,0.4514580490724549,-0.13506507873535156,209.0,0.0068015456,-0.12826353,0.0,-0.16225550620877027,-0.025030420070148288,SLC6A16,28968.0,cg10186564,-1.09574166522925,1.80844816332335e-13,-0.1111941801545616,5.4487533912063605e-73,0.0,1.0
ENSG00000065717,TLE2,TPDS_TMDE,0.10405458178817596,0.010918403300308605,0.14531683921813965,120.0,1.0971395,1.2424563,-0.1110909021842364,0.53062474761537,0.004337716625868321,TLE2,7089.0,cg07933682,-1.312079299141,3.8108437498440997e-42,-0.1256717922112461,2.5904615760531398e-27,-0.0827642994126821,0.0093717010161936
ENSG00000066032,CTNNA2,TPDS_TMDE,0.3836657695892647,0.21750066515447752,0.046073615550994866,182.0,0.94021773,0.98629135,0.03414220981394095,-0.18109189720929325,0.0,CTNNA2,1496.0,0,-1.7289724135276499,1.1468108725425501e-10,0.0,1.0,-0.29769827320081604,1.3270723009468099e-27
ENSG00000066382,MPPED2,TPDS_TMDE,0.08862455616347831,0.00786386906802695,0.12059950828552245,115.0,1.1394841999999998,1.2600837,-0.015360689201538437,0.3376017602808292,0.0,MPPED2,744.0,0,-2.94086546802148,1.1398223620793098e-104,0.0,1.0,-0.486618530657656,3.752625501324969e-35
ENSG00000067842,ATP2B3,TPDS_TMDE,0.2468881495075472,0.07163233633599256,0.11204993724822998,154.0,1.0521456,1.1641955,-0.14725642952360068,-0.21992872341246106,-0.006912424300773545,ATP2B3,492.0,cg08719422,-2.5505667704045,1.94918992293613e-16,-0.3267539162911528,8.874445284900458e-54,0.5483430749836821,1.8839163015232398e-16
ENSG00000069018,TRPC7,TPDS_TMDE,0.06084977745894651,0.0033853045206033625,-0.5989347696304321,103.0,-0.067058854,-0.66599363,0.0,-0.7374171673068908,0.06096055902179051,TRPC7,57113.0,cg00118989,-3.43390299891235,9.40279990561329e-65,-0.2347942800289438,4.0815933456519796e-36,0.0,1.0
ENSG00000069206,ADAM7,TPDS_TMDE,0.08628440737719531,0.007352403727211712,-0.2437307685613632,114.0,0.15759014,-0.08614063,0.0,-0.8479052117846138,-0.03633095009923856,ADAM7,8756.0,cg08383526,-1.20378013953669,0.0001991184637388,-0.1276828520827846,3.2269424645431794e-57,0.0,1.0
ENSG00000069966,GNB5,TPDS_TMDE,0.3472458818607563,0.16457498485372465,0.054198503494262695,174.0,1.2938249,1.3480233999999998,0.0038576198276732976,-0.05692750669607838,-0.011770879882016859,GNB5,10681.0,cg11841246,-1.2693806817725302,2.797831802023939e-152,-0.0683353936675953,1.9833699650927797e-51,-0.26936217639277305,9.60271262171135e-16
ENSG00000070159,PTPN3,TPDS_TMDE,0.4393889198690334,0.32149654066473643,-0.01800668239593506,195.0,1.4215151000000001,1.4035084,-0.17978439782439873,-0.13940690570837688,0.0,PTPN3,5774.0,0,-1.06699194269792,3.77628245557171e-57,0.0,1.0,-0.273050010787489,1.08513914324732e-17
ENSG00000070182,SPTB,TPDS_TMDE,0.3791349595295017,0.21039320289383615,0.07170307636260986,181.0,1.1222763999999998,1.1939795,-0.33075948890615514,-0.1795368552069796,0.025733814341634104,SPTB,6710.0,cg22797773,-1.9587572906756001,1.3890809313261298e-58,-0.2161821675052865,5.4969040855899605e-68,1.18324776579168,2.1296349169672e-27
ENSG00000070388,FGF22,TPDS_TMDE,0.1968191551024103,0.039502436059286584,-0.18673419952392575,142.0,0.08140755,-0.10532665,0.0,-0.045096654697426776,0.033549221152446185,FGF22,27006.0,cg22189019,-1.02654978481773,2.7945400943149895e-11,-0.0616691931976586,2.3786008888302204e-12,0.0,1.0
ENSG00000070731,ST6GALNAC2,TPDS_TMDE,0.25591244657801226,0.0821803349574462,0.2265796512365341,157.0,-0.39168045,-0.1651008,0.0,0.30337598470961136,0.007732382190053773,ST6GALNAC2,10610.0,cg06150430,-1.8999918999365402,9.251955428292939e-52,-0.0659979055832251,3.02275775490775e-44,0.0,1.0
ENSG00000070985,TRPM5,TPDS_TMDE,0.40556583724082,0.2550495018704594,0.08519356697797775,187.0,0.008044041,0.09323761,0.0,0.06321695324804077,-0.03506511926592148,TRPM5,29850.0,cg02743674,-1.72245706003342,8.68446923943204e-26,-0.222178478035088,7.20197186340404e-64,0.0,1.0
ENSG00000071991,CDH19,TPDS_TMDE,0.4393889198690334,0.32149654066473643,0.06252866983413696,195.0,-0.781989,-0.7194603,0.0,0.059943969127905776,-0.022741876739203262,CDH19,28513.0,cg15728909,-3.37967340372797,2.36421794375566e-20,-0.1011414076526391,2.3141467889235895e-13,0.0,1.0
ENSG00000075035,WSCD2,TPDS_TMDE,0.31006797365546424,0.12577405128559674,-0.19003134965896606,167.0,-0.45010132,-0.64013267,0.0,-0.2372260998290308,-0.011897624187071243,WSCD2,9671.0,cg00736201,-2.15968748689862,2.83714729032843e-21,-0.2463776582112896,1.2613977287426397e-79,0.0,1.0
ENSG00000075290,WNT8B,TPDS_TMDE,0.15126469478004445,0.02407452184527468,-0.2745228111743927,133.0,0.27983576,0.005312951,0.0,-0.23114606173450736,0.05994729810514265,WNT8B,7479.0,cg07570687,-1.24791431117664,4.4064816680537694e-35,-0.1155753594921532,7.152942872071569e-28,0.0,1.0
ENSG00000075673,ATP12A,TPDS_TMDE,0.20940819165926255,0.04615828449954169,-0.17154037952423096,145.0,-1.0245792999999999,-1.1961197000000001,0.0,-0.27924947162788394,0.018573061759702542,ATP12A,479.0,cg23781398,-6.45472136314061,8.482066121285218e-72,0.0885027292555569,1.23694602321883e-36,0.0,1.0
ENSG00000075891,PAX2,TPDS_TMDE,0.4573199677042834,0.3848572967652243,-0.015279173851013184,202.0,1.3212988,1.3060197,-0.08535888284555007,-0.899885525579101,0.0,PAX2,5076.0,0,-1.2401017135088601,5.3448563945317495e-18,0.0,1.0,0.19231938391466,6.77763083894633e-06
ENSG00000076382,SPAG5,TPDS_TMDE,0.4802248726124858,0.4322023853512372,-0.08361172676086426,207.0,1.4091203,1.3255086,0.019684252784252856,-0.19837767048219448,0.005170016903617042,SPAG5,10615.0,cg06774283,-2.05935519680595,2.1005388438583597e-50,-0.1176031433349352,3.24439428962666e-33,0.024822078389067,0.583063362038811
ENSG00000076555,ACACB,TPDS_TMDE,0.3634309406466009,0.18990546335195624,0.06967198848724365,178.0,1.2285069,1.2981789,-0.08738650748843957,-0.04426221917318207,-0.0007811734952548055,ACACB,32.0,cg23921871,-1.1302413526014499,1.9998372517506702e-58,-0.11716075560332401,6.524786774836239e-58,-0.16100859922500596,2.2018998689823302e-05
ENSG00000076826,CAMSAP3,TPDS_TMDE,0.3160909577287115,0.13088836841160728,-0.062367677688598626,168.0,1.5208415000000002,1.4584738000000002,-0.2628241763075432,-0.6066591814689978,-0.03339966342908459,CAMSAP3,57662.0,cg03131092,-1.3858324397748203,3.4046849809561293e-40,-0.0289124015034528,0.0158715903190577,-0.45475002212220794,2.0329184515241597e-38
ENSG00000077942,FBLN1,TPDS_TMDE,0.3241803917845065,0.14154355134253102,0.0420687198638916,170.0,1.180987,1.2230557,-0.006433144146354874,-0.34156538265698755,-0.04857970865664911,FBLN1,2192.0,cg07072704,-1.5633331602666398,2.7455709830765e-15,-0.0630181360518812,5.07466856976398e-07,-0.0796144910921949,0.115060284759831
ENSG00000078328,RBFOX1,TPDS_TMDE,0.3634309406466009,0.18990546335195624,0.02727639675140381,178.0,-1.1068870000000002,-1.0796106,0.0,-0.015955154183874276,-0.03130297573687396,RBFOX1,54715.0,cg02909809,-3.4038977868857403,5.57513921450183e-58,-0.2522246456438897,1.5172030763665596e-40,0.0,1.0
ENSG00000079101,CLUL1,TPDS_TMDE,0.2670903452017957,0.09385780440541974,0.2237355709075928,160.0,-0.55557364,-0.33183807,0.0,0.1710085127029506,0.07872106577426889,CLUL1,27098.0,cg23713900,-2.44769207095027,1.0304447561443798e-80,-0.1568346097403489,2.41384291820986e-43,0.0,1.0
ENSG00000079385,CEACAM1,TPDS_TMDE,0.4263397382398251,0.2957356634973435,0.0494532585144043,192.0,1.2203859,1.2698392,-0.19879180230541554,-0.23669336375531924,0.1307055520677723,CEACAM1,634.0,cg11811510,-1.5581900263721,1.34092275347198e-46,-0.1851502443027218,6.54938494940135e-30,-0.30659999927024106,1.1250076573432e-10
ENSG00000079557,AFM,TPDS_TMDE,0.2468881495075472,0.07163233633599256,0.22231590747833246,154.0,1.0730108999999999,1.2953268,0.04298329886412117,0.6238474317954195,-0.01978099695883625,AFM,173.0,cg00797183,-5.71636743882155,1.2598888992276097e-82,-0.0549250848937269,1.6177739653210099e-56,0.173347345525469,0.0123011022953779
ENSG00000080511,RDH8,TPDS_TMDE,0.4263397382398251,0.2957356634973435,-0.01718282699584961,192.0,-0.6041768,-0.62135965,0.0,-0.06904158536154004,-0.019506987269893642,RDH8,50700.0,cg25661884,-8.56992905725789,5.010355416477089e-69,-0.0671630818245324,1.66205074509059e-11,0.0,1.0
ENSG00000081051,AFP,TPDS_TMDE,0.5,0.5,0.012666404247283936,214.0,-0.7746665,-0.7620001000000001,0.0,-0.012446556363429062,-0.0030749666509783807,AFP,174.0,cg02199826,-3.34325601314733,1.2465211121678197e-57,-0.0968789858230174,1.18237978706868e-43,0.0,1.0
ENSG00000081248,CACNA1S,TPDS_TMDE,0.4937559663109984,0.4805427784801407,-0.04425257444381714,212.0,-0.14210421,-0.18635678,0.0,-0.022831054216504776,0.05828335310893101,CACNA1S,779.0,cg22815214,-2.04657795214992,1.9975921802840198e-26,-0.2864574312236874,8.751292535408439e-50,0.0,1.0
ENSG00000081803,CADPS2,TPDS_TMDE,0.4376194791420031,0.3128054727669952,0.02611935138702393,194.0,1.2813205,1.3074398,-0.02658477808417664,0.34077636005181977,-0.07313235764927305,CADPS2,93664.0,cg03368627,-1.00192089905834,4.912437225918e-71,-0.1393920859472882,8.312712929471382e-20,-0.30051215419349997,2.0508526681718e-30
ENSG00000082293,COL19A1,TPDS_TMDE,0.4916004830104884,0.470828631615679,0.016902446746826172,211.0,-0.30458579999999996,-0.28768337,0.0,0.3134785963496647,-0.004224111171937037,COL19A1,1310.0,cg00420895,-2.28993545589066,1.24625583144732e-32,-0.0412913012778759,1.31739069196952e-29,0.0,1.0
ENSG00000084453,SLCO1A2,TPDS_TMDE,0.48296728243185205,0.44181302808378575,-0.0629623532295227,208.0,-0.14610861,-0.20907097,0.0,-0.4923225598872514,0.015446046083654963,SLCO1A2,6579.0,cg10832076,-1.05398134094286,0.0058976754438546,-0.2546427629439646,6.050087978426879e-43,0.0,1.0
ENSG00000085552,IGSF9,TPDS_TMDE,0.3634309406466009,0.18990546335195624,0.047671429812908166,178.0,-0.02211028,0.025561148,0.0,0.12702826110891266,-0.03550366348588109,IGSF9,57549.0,cg07379893,-1.2631476886783002,7.732394045360061e-19,-0.1242814649774607,1.19168811198358e-28,0.0,1.0
ENSG00000087510,TFAP2C,TPDS_TMDE,0.3160909577287115,0.13088836841160728,-0.06784272193908691,168.0,1.6672299,1.5993872,0.031607903824570405,-0.27211546600063674,0.014670782949645494,TFAP2C,7022.0,cg12521353,-1.63940504579636,3.30804501472807e-08,0.0890461539883533,5.848948038727341e-31,0.251758447800552,0.0003181785416384
ENSG00000088280,ASAP3,TPDS_TMDE,0.23854249400621744,0.06215543857908482,-0.06750822067260742,151.0,1.3818834999999998,1.3143753,0.07993077067042942,-0.4104899077500819,0.07843808450810916,ASAP3,55616.0,cg27447006,-1.16686879142477,1.5904517098468098e-26,-0.2470742195840318,5.939304046620751e-45,-0.48386417478291205,3.503989243648229e-26
ENSG00000088538,DOCK3,TPDS_TMDE,0.019739892547018828,0.00013901332779590726,-0.7819791436195374,65.0,0.23895377,-0.5430254,0.0,-0.909788009621164,0.03301804257987833,DOCK3,1795.0,cg18501026,-1.95962503674009,8.574044749339719e-65,-0.0715481829113866,6.85745202534094e-14,0.0,1.0
ENSG00000088926,F11,TPDS_TMDE,0.4912281873893133,0.461131812528137,0.0031653642654418945,210.0,1.361686,1.3648513999999998,-0.033412236773684656,-0.5807173661959437,0.0,F11,2160.0,0,-4.46076632413866,3.0606862293284292e-74,0.0,1.0,-0.42399926933137894,1.1576439825793e-11
ENSG00000089101,CFAP61,TPDS_TMDE,0.4376194791420031,0.3128054727669952,-0.11360245943069458,194.0,-0.27766335,-0.3912658,0.0,-0.055315277582048905,0.03048365161169841,CFAP61,26074.0,cg11382945,-1.6327614308791798,7.93074640047351e-46,-0.2527858948949821,1.29515279580775e-39,0.0,1.0
ENSG00000089250,NOS1,TPDS_TMDE,0.4465828243444076,0.34814590602060497,-0.05442309379577637,198.0,1.2836638999999999,1.2292408000000001,-0.42453403177069904,0.19131559499769946,-0.030642820312027506,NOS1,4842.0,cg02397205,-4.22433113989887,3.2605896413436092e-99,-0.23059259304511603,5.49135636644214e-48,-0.353406552798753,3.3808680277601103e-06
ENSG00000090512,FETUB,TPDS_TMDE,0.4112158771734806,0.2629464904743102,0.04801762104034424,188.0,1.0413758,1.0893933999999998,0.1202724137924888,-0.3853905175648165,-0.018297800092894417,FETUB,26998.0,cg15061231,-4.6564551862846395,2.5680565079786405e-32,-0.1837169028852789,1.3233266446590398e-72,0.0515817831412602,0.41078100377759097
ENSG00000090565,RAB11FIP3,TPDS_TMDE,0.17402873483572445,0.03186441623752701,-0.30078431963920593,138.0,0.41564667,0.11486236,0.0,-0.3848778248372193,-0.09372613347263596,RAB11FIP3,9727.0,cg09555736,-1.43987899526704,3.5121266309419304e-48,-0.2850615845404621,1.2509683103900898e-55,0.0,1.0
ENSG00000091137,SLC26A4,TPDS_TMDE,0.2804259203709608,0.10229621602264627,0.1887114644050598,162.0,-0.7304303000000001,-0.54171884,0.0,0.2711462215155476,-0.0004971044134518264,SLC26A4,5172.0,cg20898273,-3.54542618263178,4.6717576817090984e-182,-0.1122222801621153,1.16203579765142e-38,0.0,1.0
ENSG00000091181,IL5RA,TPDS_TMDE,0.4141793336068316,0.2709666203667229,0.07079863548278809,189.0,-0.05698363,0.013815001,0.0,0.056310569134855985,-0.011760335286477852,IL5RA,3568.0,cg25791578,-1.36349556401254,7.041073593197428e-22,-0.2037502961480657,1.2179768714532698e-60,0.0,1.0
ENSG00000091262,ABCC6,TPDS_TMDE,0.16075963756036218,0.028529175116345968,-0.04363659024238586,136.0,0.46664286,0.42300627,0.0,-0.333992878276103,-0.07868704930034652,ABCC6,368.0,cg10024478,-1.5294296152854099,8.41516081742014e-27,-0.1179438593709784,1.2345158272648699e-17,0.0,1.0
ENSG00000091583,APOH,TPDS_TMDE,0.5,0.5,-0.053435206413269036,214.0,1.1515626,1.0981273999999999,0.10382849798519356,-0.3950249852709869,-0.057373092639926286,APOH,350.0,cg16481618,-3.46706521350518,2.38980401599058e-30,-0.2233710818732798,1.5271484389211602e-44,-0.370470796724997,7.15034878066663e-10
ENSG00000091622,PITPNM3,TPDS_TMDE,0.15126469478004445,0.02407452184527468,-0.3881034255027771,133.0,0.47258267,0.08447924,0.0,-0.4141932237543331,-0.028266400099574557,PITPNM3,83394.0,cg06928695,-1.2896089797324801,1.3033881184571497e-70,-0.0930066185264317,1.10626461991455e-20,0.0,1.0
