Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
MDE (+),TAM ISGhi,0.1085919172869531,1.9726027397260273,8,15,73,270,ENSG00000116991 ENSG00000024422 ENSG00000138722 ENSG00000173269 ENSG00000179403 ENSG00000183688 ENSG00000170962 ENSG00000138411,SIPA1L2 EHD2 MMRN1 MMRN2 VWA1 RFLNB PDGFD HECW2,0.26509203337697373
MDE (+),TAM ISGint,0.0038684553267710944,4.280701754385965,8,15,38,305,ENSG00000116991 ENSG00000024422 ENSG00000138722 ENSG00000105974 ENSG00000173269 ENSG00000179403 ENSG00000170962 ENSG00000138411,SIPA1L2 EHD2 MMRN1 CAV1 MMRN2 VWA1 PDGFD HECW2,0.02140545280813339
MDE (-),CD14+ Monocyte,0.45043652067910345,1.1877551020408164,5,35,35,291,ENSG00000160255 ENSG00000158869 ENSG00000103490 ENSG00000122986 ENSG00000059377,ITGB2 FCER1G PYCARD HVCN1 TBXAS1,0.6731408223562623
MDE (-),CD14+/CD16+ Monocyte,0.026414458484077263,2.5777126099706744,9,31,33,293,ENSG00000168961 ENSG00000131446 ENSG00000158869 ENSG00000103490 ENSG00000112303 ENSG00000100364 ENSG00000142669 ENSG00000059377 ENSG00000161921,LGALS9 MGAT1 FCER1G PYCARD VNN2 KIAA0930 SH3BGRL3 TBXAS1 CXCL16,0.09532174148601795
MDE (-),CD45- PAX8+ renal epithelium,0.9979789455710588,0.3769063180827887,10,30,153,173,ENSG00000113249 ENSG00000075340 ENSG00000104419 ENSG00000167644 ENSG00000085831 ENSG00000105976 ENSG00000067225 ENSG00000198758 ENSG00000099377 ENSG00000166592,HAVCR1 ADD2 NDRG1 C19orf33 TTC39A MET PKM EPS8L3 HSD3B7 RRAD,0.9999910582655656
MDE (-),CD45- ccRCC CA9+,0.48464185524103087,1.0717948717948718,15,25,117,209,ENSG00000134285 ENSG00000132530 ENSG00000168961 ENSG00000142002 ENSG00000113249 ENSG00000075340 ENSG00000104419 ENSG00000167644 ENSG00000105976 ENSG00000085831 ENSG00000067225 ENSG00000100364 ENSG00000089127 ENSG00000099377 ENSG00000166592,FKBP11 XAF1 LGALS9 DPP9 HAVCR1 ADD2 NDRG1 C19orf33 MET TTC39A PKM KIAA0930 OAS1 HSD3B7 RRAD,0.7057065611404485
MDE (-),TAM HLAhi,0.00248677873253437,3.255731922398589,13,27,42,284,ENSG00000160255 ENSG00000168961 ENSG00000131446 ENSG00000158869 ENSG00000095970 ENSG00000181467 ENSG00000103490 ENSG00000132965 ENSG00000122986 ENSG00000100364 ENSG00000089127 ENSG00000059377 ENSG00000161921,ITGB2 LGALS9 MGAT1 FCER1G TREM2 RAP2B PYCARD ALOX5AP HVCN1 KIAA0930 OAS1 TBXAS1 CXCL16,0.01720455076751551
MDE (-),TAM HLAint,0.025229634028762275,2.7685185185185186,8,32,27,299,ENSG00000168961 ENSG00000131446 ENSG00000158869 ENSG00000095970 ENSG00000181467 ENSG00000100364 ENSG00000059377 ENSG00000161921,LGALS9 MGAT1 FCER1G TREM2 RAP2B KIAA0930 TBXAS1 CXCL16,0.09518452838123949
MDE (-),TAM ISGhi,0.9672282972692876,0.4699248120300752,5,35,76,250,ENSG00000158869 ENSG00000168961 ENSG00000095970 ENSG00000059377 ENSG00000161921,FCER1G LGALS9 TREM2 TBXAS1 CXCL16,0.9999910582655656
MDE (-),TAM/TCR (Ambiguos),0.08126466120258406,2.3248081841432224,6,34,23,303,ENSG00000158869 ENSG00000168961 ENSG00000095970 ENSG00000122986 ENSG00000059377 ENSG00000161921,FCER1G LGALS9 TREM2 HVCN1 TBXAS1 CXCL16,0.2107802149942024
MDE (-),cDC2,0.04686646007257035,2.379032258064516,8,32,31,295,ENSG00000168961 ENSG00000131446 ENSG00000158869 ENSG00000095970 ENSG00000103490 ENSG00000100364 ENSG00000059377 ENSG00000161921,LGALS9 MGAT1 FCER1G TREM2 PYCARD KIAA0930 TBXAS1 CXCL16,0.13892557807226213
TMDE (+),CD45- Myofibroblast,0.004128883909903679,5.285714285714286,7,7,56,296,ENSG00000198680 ENSG00000074657 ENSG00000011638 ENSG00000119640 ENSG00000151364 ENSG00000138386 ENSG00000172037,TUSC1 ZNF532 LDAF1 ACYP1 KCTD14 NAB1 LAMB2,0.021418585282625333
TMDE (+),CD45- PAX8+ renal epithelium,0.6527770727779145,0.9315286624203821,6,8,157,195,ENSG00000101871 ENSG00000198680 ENSG00000182621 ENSG00000011638 ENSG00000151364 ENSG00000172037,MID1 TUSC1 PLCB1 LDAF1 KCTD14 LAMB2,0.8814432881811511
TMDE (+),CD45- Vascular Endothelium,0.01080115156598511,4.253731343283582,7,7,67,285,ENSG00000101871 ENSG00000198680 ENSG00000116016 ENSG00000182621 ENSG00000074657 ENSG00000136160 ENSG00000172037,MID1 TUSC1 EPAS1 PLCB1 ZNF532 EDNRB LAMB2,0.047183977893513904
TMDE (+),CD45- ccRCC CA9+,0.39057920839978566,1.3452380952380953,6,8,126,226,ENSG00000198680 ENSG00000087903 ENSG00000074657 ENSG00000011638 ENSG00000151364 ENSG00000172037,TUSC1 RFX2 ZNF532 LDAF1 KCTD14 LAMB2,0.6356485156310238
TMDE (+),TAM ISGhi,0.018114871598461552,3.7567567567567566,7,7,74,278,ENSG00000101871 ENSG00000198680 ENSG00000116016 ENSG00000087903 ENSG00000182621 ENSG00000074657 ENSG00000172037,MID1 TUSC1 EPAS1 RFX2 PLCB1 ZNF532 LAMB2,0.07517671713361544
TMDE (+),TAM ISGint,0.08477169196144095,2.9523809523809526,4,10,42,310,ENSG00000101871 ENSG00000136160 ENSG00000116016 ENSG00000172037,MID1 EDNRB EPAS1 LAMB2,0.21321364947877572
TMDE (-),CD14+ Monocyte,0.035139439507666646,3.019607843137255,6,18,34,308,ENSG00000135912 ENSG00000008130 ENSG00000051523 ENSG00000110057 ENSG00000171714 ENSG00000163191,TTLL4 NADK CYBA UNC93B1 ANO5 S100A11,0.11217590304370506
TMDE (-),CD14+/CD16+ Monocyte,0.2911623270418292,1.6,4,20,38,304,ENSG00000135912 ENSG00000110057 ENSG00000008130 ENSG00000163191,TTLL4 UNC93B1 NADK S100A11,0.5151819283906488
TMDE (-),CD45- PAX8+ renal epithelium,0.9646859551494086,0.49095022624434387,7,17,156,186,ENSG00000101294 ENSG00000171714 ENSG00000160678 ENSG00000074416 ENSG00000169223 ENSG00000114923 ENSG00000163191,HM13 ANO5 S100A1 MGLL LMAN2 SLC4A3 S100A11,0.9999910582655656
TMDE (-),CD45- ccRCC CA9+,0.6890975234850911,0.8790322580645161,8,16,124,218,ENSG00000101294 ENSG00000171714 ENSG00000160678 ENSG00000074416 ENSG00000140464 ENSG00000114923 ENSG00000169223 ENSG00000163191,HM13 ANO5 S100A1 MGLL PML SLC4A3 LMAN2 S100A11,0.8814432881811511
TMDE (-),TAM HLAhi,0.2840676080537799,1.5368421052631578,5,19,50,292,ENSG00000051523 ENSG00000110057 ENSG00000057252 ENSG00000163191 ENSG00000108639,CYBA UNC93B1 SOAT1 S100A11 SYNGR2,0.5151819283906488
TMDE (-),cDC2,0.24461390394027788,1.7542857142857142,4,20,35,307,ENSG00000110057 ENSG00000171714 ENSG00000163191 ENSG00000114923,UNC93B1 ANO5 S100A11 SLC4A3,0.4867893501216948
TMDS (+),CD14+/CD16+ Monocyte,0.2747353024401311,1.5488565488565489,5,26,37,298,ENSG00000154146 ENSG00000229859 ENSG00000163738 ENSG00000151726 ENSG00000197555,NRGN PGA3 MTHFD2L ACSL1 SIPA1L1,0.5151819283906488
TMDS (+),CD45- Myofibroblast,0.4494213113161122,1.1705263157894736,6,25,57,278,ENSG00000154146 ENSG00000151338 ENSG00000258818 ENSG00000137821 ENSG00000185345 ENSG00000151376,NRGN MIPOL1 RNASE4 LRRC49 PRKN ME3,0.6731408223562623
TMDS (+),CD45- PAX8+ renal epithelium,0.6872179629181627,0.8907407407407407,13,18,150,185,ENSG00000151338 ENSG00000072657 ENSG00000172260 ENSG00000257335 ENSG00000167315 ENSG00000258818 ENSG00000172828 ENSG00000177465 ENSG00000137821 ENSG00000124374 ENSG00000185345 ENSG00000151376 ENSG00000166821,MIPOL1 TRHDE NEGR1 MGAM ACAA2 RNASE4 CES3 ACOT4 LRRC49 PAIP2B PRKN ME3 PEX11A,0.8814432881811511
TMDS (+),CD45- Vascular Endothelium,0.7918788733544715,0.7413600891861761,5,26,69,266,ENSG00000137509 ENSG00000151338 ENSG00000137821 ENSG00000185345 ENSG00000151376,PRCP MIPOL1 LRRC49 PRKN ME3,0.9665580365944285
TMDS (+),CD45- ccRCC CA9+,0.741220890070284,0.8313817330210773,10,21,122,213,ENSG00000124615 ENSG00000229859 ENSG00000151338 ENSG00000172260 ENSG00000258818 ENSG00000172828 ENSG00000137821 ENSG00000185345 ENSG00000151376 ENSG00000166821,MOCS1 PGA3 MIPOL1 NEGR1 RNASE4 CES3 LRRC49 PRKN ME3 PEX11A,0.9182288638184115
TMDS (+),TAM ISGhi,0.7228924068598948,0.832,6,25,75,260,ENSG00000154146 ENSG00000124615 ENSG00000137509 ENSG00000151726 ENSG00000137821 ENSG00000151376,NRGN MOCS1 PRCP ACSL1 LRRC49 ME3,0.9090919662025949
TMDS (-),CD4+ Proliferating,0.02270289001863913,2.92,8,50,16,292,ENSG00000180992 ENSG00000112208 ENSG00000132591 ENSG00000172172 ENSG00000110074 ENSG00000178741 ENSG00000158042 ENSG00000048544,MRPL14 BAG2 ERAL1 MRPL13 FOXRED1 COX5A MRPL17 MRPS10,0.08973047007366894
TMDS (-),CD14+ Monocyte,0.4541673018307312,1.1437908496732025,7,51,33,275,ENSG00000067836 ENSG00000159720 ENSG00000114573 ENSG00000198121 ENSG00000131389 ENSG00000166548 ENSG00000151136,ROGDI ATP6V0D1 ATP6V1A LPAR1 SLC6A6 TK2 BTBD11,0.6731408223562623
TMDS (-),CD14+/CD16+ Monocyte,0.6871873398347191,0.8717948717948718,6,52,36,272,ENSG00000108179 ENSG00000067836 ENSG00000159720 ENSG00000131389 ENSG00000148344 ENSG00000102393,PPIF ROGDI ATP6V0D1 SLC6A6 PTGES GLA,0.8814432881811511
TMDS (-),CD45- PAX8+ renal epithelium,0.831170955646638,0.7885714285714286,23,35,140,168,ENSG00000109016 ENSG00000144120 ENSG00000067836 ENSG00000127838 ENSG00000114573 ENSG00000106077 ENSG00000141012 ENSG00000002726 ENSG00000148344 ENSG00000179091 ENSG00000158042 ENSG00000100053 ENSG00000178741 ENSG00000155097 ENSG00000172172 ENSG00000137731 ENSG00000125901 ENSG00000122574 ENSG00000171903 ENSG00000074276 ENSG00000185803 ENSG00000064601 ENSG00000185043,DHRS7B TMEM177 ROGDI PNKD ATP6V1A ABHD11 GALNS AOC1 PTGES CYC1 MRPL17 CRYBB3 COX5A ATP6V1C1 MRPL13 FXYD2 MRPS26 WIPF3 CYP4F11 CDHR2 SLC52A2 CTSA CIB1,0.9969142330021051
TMDS (-),CD45- Vascular Endothelium,0.9993916087663992,0.2518518518518518,4,54,70,238,ENSG00000109016 ENSG00000108784 ENSG00000122574 ENSG00000158042,DHRS7B NAGLU WIPF3 MRPL17,0.9999910582655656
TMDS (-),CD45- ccRCC CA9+,0.9981674272956822,0.40869565217391307,12,46,120,188,ENSG00000109016 ENSG00000144120 ENSG00000122574 ENSG00000198121 ENSG00000132591 ENSG00000139131 ENSG00000171903 ENSG00000172172 ENSG00000141012 ENSG00000148344 ENSG00000064601 ENSG00000158042,DHRS7B TMEM177 WIPF3 LPAR1 ERAL1 YARS2 CYP4F11 MRPL13 GALNS PTGES CTSA MRPL17,0.9999910582655656
TMDS (-),TAM HLAhi,0.5215221112815458,1.046140195208518,9,49,46,262,ENSG00000170266 ENSG00000159720 ENSG00000198121 ENSG00000166548 ENSG00000106077 ENSG00000149418 ENSG00000064601 ENSG00000155097 ENSG00000108784,GLB1 ATP6V0D1 LPAR1 TK2 ABHD11 ST14 CTSA ATP6V1C1 NAGLU,0.7463161247649707
TMDS (-),TAM HLAint,0.8407710398812935,0.6618876941457587,4,54,31,277,ENSG00000166548 ENSG00000198121 ENSG00000149418 ENSG00000108784,TK2 LPAR1 ST14 NAGLU,0.9969142330021051
TMDS (-),TAM ISGhi,0.9991128411556521,0.28798411122144985,5,53,76,232,ENSG00000109016 ENSG00000108179 ENSG00000198121 ENSG00000149418 ENSG00000108784,DHRS7B PPIF LPAR1 ST14 NAGLU,0.9999910582655656
TMDS (-),pDC,0.237168063104364,1.8271604938271604,4,54,12,296,ENSG00000197150 ENSG00000149418 ENSG00000176715 ENSG00000139180,ABCB8 ST14 ACSF3 NDUFA9,0.4867893501216948
TPDE (+),CD14+/CD16+ Monocyte,0.042175117818785926,2.617391304347826,7,23,35,301,ENSG00000148926 ENSG00000081189 ENSG00000174705 ENSG00000107738 ENSG00000176973 ENSG00000100504 ENSG00000147202,ADM MEF2C SH3PXD2B VSIR FAM89B PYGL DIAPH2,0.12964943625774933
TPDE (+),CD45- Myofibroblast,0.052338821231565205,2.238095238095238,9,21,54,282,ENSG00000136960 ENSG00000185585 ENSG00000079689 ENSG00000081189 ENSG00000064989 ENSG00000177469 ENSG00000119630 ENSG00000128606 ENSG00000152583,ENPP2 OLFML2A SCGN MEF2C CALCRL CAVIN1 PGF LRRC17 SPARCL1,0.14979731593861764
TPDE (+),CD45- PAX8+ renal epithelium,0.932109137063599,0.5980392156862745,10,20,153,183,ENSG00000135245 ENSG00000079689 ENSG00000148926 ENSG00000102144 ENSG00000157510 ENSG00000177469 ENSG00000087250 ENSG00000107159 ENSG00000119630 ENSG00000106236,HILPDA SCGN ADM PGK1 AFAP1L1 CAVIN1 MT3 CA9 PGF NPTX2,0.9999910582655656
TPDE (+),CD45- Vascular Endothelium,4.129717663137365e-06,6.40080971659919,17,13,57,279,ENSG00000136960 ENSG00000185585 ENSG00000249751 ENSG00000148926 ENSG00000081189 ENSG00000164283 ENSG00000064989 ENSG00000113555 ENSG00000157510 ENSG00000102755 ENSG00000177469 ENSG00000176435 ENSG00000152661 ENSG00000176973 ENSG00000128606 ENSG00000152583 ENSG00000106236,ENPP2 OLFML2A ECSCR ADM MEF2C ESM1 CALCRL PCDH12 AFAP1L1 FLT1 CAVIN1 CLEC14A GJA1 FAM89B LRRC17 SPARCL1 NPTX2,0.00017138328302020064
TPDE (+),CD45- ccRCC CA9+,0.38827254744525563,1.2,12,18,120,216,ENSG00000135245 ENSG00000148926 ENSG00000102144 ENSG00000106236 ENSG00000174705 ENSG00000177469 ENSG00000087250 ENSG00000107159 ENSG00000152661 ENSG00000128606 ENSG00000100504 ENSG00000147202,HILPDA ADM PGK1 NPTX2 SH3PXD2B CAVIN1 MT3 CA9 GJA1 LRRC17 PYGL DIAPH2,0.6356485156310238
TPDE (+),TAM HLAhi,0.6902869124310219,0.8597285067873304,4,26,51,285,ENSG00000107738 ENSG00000174705 ENSG00000100504 ENSG00000081189,VSIR SH3PXD2B PYGL MEF2C,0.8814432881811511
TPDE (+),TAM ISGhi,9.005552058867898e-05,4.764835164835165,16,14,65,271,ENSG00000136960 ENSG00000185585 ENSG00000148926 ENSG00000107738 ENSG00000081189 ENSG00000113555 ENSG00000157510 ENSG00000174705 ENSG00000177469 ENSG00000176435 ENSG00000152661 ENSG00000119630 ENSG00000128606 ENSG00000152583 ENSG00000100504 ENSG00000106236,ENPP2 OLFML2A ADM VSIR MEF2C PCDH12 AFAP1L1 SH3PXD2B CAVIN1 CLEC14A GJA1 PGF LRRC17 SPARCL1 PYGL NPTX2,0.0018686520522150887
TPDE (+),TAM ISGint,1.310954888368379e-07,9.838709677419354,15,15,31,305,ENSG00000136960 ENSG00000185585 ENSG00000079689 ENSG00000081189 ENSG00000164283 ENSG00000064989 ENSG00000113555 ENSG00000157510 ENSG00000102755 ENSG00000177469 ENSG00000176435 ENSG00000249751 ENSG00000128606 ENSG00000152583 ENSG00000106236,ENPP2 OLFML2A SCGN MEF2C ESM1 CALCRL PCDH12 AFAP1L1 FLT1 CAVIN1 CLEC14A ECSCR LRRC17 SPARCL1 NPTX2,1.0880925573457544e-05
TPDE (+),cDC2,0.3998893732337557,1.323076923076923,4,26,35,301,ENSG00000107738 ENSG00000174705 ENSG00000100504 ENSG00000081189,VSIR SH3PXD2B PYGL MEF2C,0.63828496112311
TPDE (-),CD14+ Monocyte,0.12038838320754486,2.0361990950226243,6,26,34,300,ENSG00000254087 ENSG00000101336 ENSG00000106348 ENSG00000146070 ENSG00000136040 ENSG00000140678,LYN HCK IMPDH1 PLA2G7 PLXNC1 ITGAX,0.2854924516064635
TPDE (-),CD14+/CD16+ Monocyte,0.058212644880441956,2.392,7,25,35,299,ENSG00000254087 ENSG00000101336 ENSG00000146070 ENSG00000136040 ENSG00000140678 ENSG00000110719 ENSG00000012779,LYN HCK PLA2G7 PLXNC1 ITGAX TCIRG1 ALOX5,0.16105498416922276
TPDE (-),CD45- PAX8+ renal epithelium,0.9999910582655656,0.15723270440251572,4,28,159,175,ENSG00000128335 ENSG00000164294 ENSG00000131473 ENSG00000096433,APOL2 GPX8 ACLY ITPR3,0.9999910582655656
TPDE (-),CD45- ccRCC CA9+,0.9774233116003366,0.46816,7,25,125,209,ENSG00000128335 ENSG00000157601 ENSG00000163840 ENSG00000138496 ENSG00000164294 ENSG00000119922 ENSG00000131473,APOL2 MX1 DTX3L PARP9 GPX8 IFIT2 ACLY,0.9999910582655656
TPDE (-),TAM HLAhi,0.003461192936460436,3.4523809523809526,11,21,44,290,ENSG00000254087 ENSG00000101336 ENSG00000129667 ENSG00000136235 ENSG00000146070 ENSG00000088827 ENSG00000119922 ENSG00000136404 ENSG00000136040 ENSG00000140678 ENSG00000012779,LYN HCK RHBDF2 GPNMB PLA2G7 SIGLEC1 IFIT2 TM6SF1 PLXNC1 ITGAX ALOX5,0.02140545280813339
TPDE (-),TAM HLAint,0.006145745498138681,3.7901234567901234,8,24,27,307,ENSG00000254087 ENSG00000129667 ENSG00000136235 ENSG00000146070 ENSG00000136404 ENSG00000136040 ENSG00000140678 ENSG00000012779,LYN RHBDF2 GPNMB PLA2G7 TM6SF1 PLXNC1 ITGAX ALOX5,0.030005698608559443
TPDE (-),TAM ISGhi,0.41319084461734035,1.1917808219178083,8,24,73,261,ENSG00000254087 ENSG00000101336 ENSG00000136235 ENSG00000164294 ENSG00000136404 ENSG00000140678 ENSG00000082196 ENSG00000012779,LYN HCK GPNMB GPX8 TM6SF1 ITGAX C1QTNF3 ALOX5,0.647072454778099
TPDE (-),TAM/TCR (Ambiguos),0.0002828668657745812,6.143478260869565,9,23,20,314,ENSG00000101336 ENSG00000129667 ENSG00000136235 ENSG00000146070 ENSG00000088827 ENSG00000136404 ENSG00000136040 ENSG00000140678 ENSG00000012779,HCK RHBDF2 GPNMB PLA2G7 SIGLEC1 TM6SF1 PLXNC1 ITGAX ALOX5,0.004695589971858048
TPDE (-),cDC2,0.0006945731000125332,4.780564263322884,10,22,29,305,ENSG00000254087 ENSG00000101336 ENSG00000129667 ENSG00000136235 ENSG00000146070 ENSG00000088827 ENSG00000136404 ENSG00000136040 ENSG00000140678 ENSG00000012779,LYN HCK RHBDF2 GPNMB PLA2G7 SIGLEC1 TM6SF1 PLXNC1 ITGAX ALOX5,0.007206195912630031
TPDS (+),CD45- Myofibroblast,0.0006366666993789302,3.836734693877551,14,21,49,282,ENSG00000138759 ENSG00000123094 ENSG00000175745 ENSG00000153707 ENSG00000099864 ENSG00000165959 ENSG00000119673 ENSG00000008311 ENSG00000115896 ENSG00000085276 ENSG00000175600 ENSG00000072954 ENSG00000144366 ENSG00000100116,FRAS1 RASSF8 NR2F1 PTPRD PALM CLMN ACOT2 AASS PLCL1 MECOM SUGCT TMEM38A GULP1 GCAT,0.007206195912630031
TPDS (+),CD45- PAX8+ renal epithelium,0.2463271410254359,1.3582150101419879,18,17,145,186,ENSG00000138759 ENSG00000123094 ENSG00000138356 ENSG00000153707 ENSG00000072415 ENSG00000103316 ENSG00000100024 ENSG00000099864 ENSG00000165959 ENSG00000008311 ENSG00000085276 ENSG00000175600 ENSG00000165376 ENSG00000250799 ENSG00000164237 ENSG00000072954 ENSG00000144366 ENSG00000100116,FRAS1 RASSF8 AOX1 PTPRD PALS1 CRYM UPB1 PALM CLMN AASS MECOM SUGCT CLDN2 PRODH2 CMBL TMEM38A GULP1 GCAT,0.4867893501216948
TPDS (+),CD45- Vascular Endothelium,0.06941056171225798,1.9497354497354498,11,24,63,268,ENSG00000176533 ENSG00000123094 ENSG00000175745 ENSG00000165795 ENSG00000072415 ENSG00000099864 ENSG00000008311 ENSG00000085276 ENSG00000072954 ENSG00000144366 ENSG00000069702,GNG7 RASSF8 NR2F1 NDRG2 PALS1 PALM AASS MECOM TMEM38A GULP1 TGFBR3,0.18584118135862623
TPDS (+),CD45- ccRCC CA9+,0.14373007699538962,1.5607985480943738,16,19,116,215,ENSG00000138759 ENSG00000123094 ENSG00000138356 ENSG00000153707 ENSG00000072415 ENSG00000103316 ENSG00000175745 ENSG00000099864 ENSG00000165959 ENSG00000119673 ENSG00000008311 ENSG00000164237 ENSG00000175600 ENSG00000165376 ENSG00000144366 ENSG00000100116,FRAS1 RASSF8 AOX1 PTPRD PALS1 CRYM NR2F1 PALM CLMN ACOT2 AASS CMBL SUGCT CLDN2 GULP1 GCAT,0.31393674712150893
TPDS (+),TAM ISGhi,0.22213001921604553,1.4647887323943662,10,25,71,260,ENSG00000138759 ENSG00000176533 ENSG00000123094 ENSG00000175745 ENSG00000165795 ENSG00000099864 ENSG00000165959 ENSG00000115896 ENSG00000085276 ENSG00000144366,FRAS1 GNG7 RASSF8 NR2F1 NDRG2 PALM CLMN PLCL1 MECOM GULP1,0.47273824602389175
TPDS (+),TAM ISGint,0.13155679149259286,1.8717948717948718,7,28,39,292,ENSG00000138759 ENSG00000175745 ENSG00000165795 ENSG00000165959 ENSG00000008311 ENSG00000085276 ENSG00000144366,FRAS1 NR2F1 NDRG2 CLMN AASS MECOM GULP1,0.2984787308355627
TPDS (-),CD4+ Proliferating,0.1330567836254918,1.9931972789115646,6,49,18,293,ENSG00000005022 ENSG00000156709 ENSG00000135069 ENSG00000128578 ENSG00000183048 ENSG00000181061,SLC25A5 AIFM1 PSAT1 STRIP2 SLC25A10 HIGD1A,0.2984787308355627
TPDS (-),CD45- Myofibroblast,0.9792132436550931,0.4362068965517241,5,50,58,253,ENSG00000070087 ENSG00000167608 ENSG00000211445 ENSG00000181061 ENSG00000181291,PFN2 TMC4 GPX3 HIGD1A TMEM132E,0.9999910582655656
