ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Data
BP,GO:0015849,organic acid transport,91/2134,324/18862,6.231486452498717e-17,3.1797575870795724e-14,2.7281388057590075e-14,SLC13A2/SLC7A14/SLC7A9/ABCC2/XK/MPC1/SYT1/SLC6A15/LLGL2/ACACB/CEACAM1/SLCO1A2/ABCB1/SLC26A4/SLC7A8/SLC7A4/PLA2G3/AVP/OXT/SLC25A15/RAB3A/FOLR1/FOLR3/SLC26A8/SLC16A10/SLC19A2/ABCD3/SLC16A7/GOT2/APOE/SLC7A10/NR0B2/NMUR2/STRA6/PLA2G12B/SLC25A47/SLC27A2/SLC13A5/SFXN5/SLC25A38/SLC26A1/SLC25A48/SLC16A2/SLC26A7/NTRK2/SLC5A12/SLC43A1/DRD2/SLC22A9/THRSP/GRM1/PLA2R1/SLC7A7/SFXN2/SLC13A3/ACE/SLC25A44/FABP1/SLC6A20/GRM2/NPY5R/SLC7A13/SLC27A4/SLC43A2/SLC3A2/BDKRB2/PLA2G4F/UMOD/SLC38A11/SLC23A1/SLC22A13/SLC16A11/SLC6A19/SLC26A9/KCNJ10/SLC25A20/AGTR2/SLC25A18/SLC25A10/LCN12/CYP4F2/SLC51B/SLC36A2/PPARA/CYP4A11/SLC38A3/SLC6A17/SLC25A29/SLC22A6/SLC26A6/SLC10A5,91,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0006631,fatty acid metabolic process,101/2134,392/18862,7.250228108074379e-16,3.391294197551791e-13,2.909631017056165e-13,ACSM3/PRKAR2B/PDK2/MLXIPL/CYP24A1/ACAA1/DGAT2/ACSM2B/HSD17B10/HACD3/ACAT1/ACACB/CEACAM1/CRAT/ACOT7/GGT1/PLA2G3/PNPLA3/PCK2/AVP/HAO1/LIPG/FA2H/ETFB/GCDH/PTGR1/TYRP1/PTGDS/PHYH/CYP2C18/PPARGC1A/APOC3/EHHADH/PCCB/SCAP/ATP6V1B1/HAO2/ACADM/ABCD3/APOA1/ACOT2/EPHX2/PCK1/ECHS1/IVD/ACSBG2/CYP2E1/SESN2/RGN/ACSS2/HACL1/ANGPTL3/ECHDC3/CYP1B1/CYP2C9/HADH/SLC27A2/CYP1A1/EPHX1/SCD5/CYP4V2/MMUT/OLAH/CBR1/CYP3A4/ACOX1/CYP4A22/ACOT11/PM20D1/FABP1/LIPH/BDH2/HPGD/ACSL6/CRYL1/ACSF2/SLC27A4/ACOX2/PLA2G4F/CEL/CYP4F11/ACOT12/FADS6/PDP2/SLC22A13/PCCA/ACSM2A/ACOT1/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/ACADSB/CYP2B6/ECI2/ACOT6/MIR204/PLIN5/GSTA1/HTD2,101,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0072329,monocarboxylic acid catabolic process,50/2134,131/18862,1.2439818664968372e-15,5.11396262959184e-13,4.387630037484912e-13,CYP26B1/ACAA1/HSD17B10/ACAT1/ACACB/XYLB/CRAT/PCK2/HAO1/ETFB/GCDH/PHYH/AGXT2/EHHADH/PCCB/HAO2/ACADM/AKR1A1/ABCD3/PCK1/ECHS1/IVD/SESN2/HACL1/HADH/SORD/SLC27A2/MMUT/IDNK/ACOX1/FABP1/BDH2/CRYL1/CRABP1/LDHD/SLC27A4/ACOX2/DCXR/CEL/CYP4F11/AGXT/PCCA/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/ECI2/PLIN5/HOGA1,50,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0006790,sulfur compound metabolic process,98/2134,378/18862,1.275529606525668e-15,5.11396262959184e-13,4.387630037484912e-13,ACSM3/PDK2/AASS/ST3GAL1/DCN/ACP3/DPEP1/CPS1/ABCC2/DGAT2/HAGH/GSTO2/ACSM2B/ACAT1/ACACB/MCCC1/NOX4/SULT2B1/PHGDH/ACOT7/GGT1/GGTLC2/AHCY/GCDH/OGDH/HYAL4/ST3GAL4/UST/ACOT13/CLIC5/PCCB/HYAL1/ABHD14B/CTH/HMGCL/AKR1A1/SLC19A2/ACOT2/DLST/GNMT/MPST/TST/CHAC1/CDO1/ACSBG2/ACSS2/PDHA1/MCCC2/BHMT2/GSTM3/HMGCS2/SLC19A3/IDH1/NDST4/SUOX/NAT8/GADL1/SLC26A1/SCD5/BHMT/MMUT/GLYAT/MAT1A/AHCYL2/CBS/ACOT11/NDST3/ACSL6/ACSF2/GGT6/PDHB/BTD/SUCLG2/AGXT/ACOT12/PDP2/NDNF/PC/PCCA/GAL3ST3/MSRA/OPLAH/PIPOX/GLRX5/ADI1/SLC25A10/CHST6/ACSM2A/ACOT1/SPOCK3/SULT1C3/SULT1A2/ENPP1/SULT1C2/ACOT6/GSTA1/HTD2/CBSL,98,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0006766,vitamin metabolic process,48/2134,130/18862,2.061582315123735e-14,7.714441023193016e-12,6.618764274870938e-12,CYP26B1/PRSS3/ACP3/CYP24A1/GSTO2/MCCC1/SLC52A3/CUBN/PNPO/FOLR1/CYP27B1/VDR/VNN1/PCCB/AKR1A1/SLC19A2/RDH10/CLYBL/ALDH1A2/RGN/MCCC2/CBLIF/TCN1/PSAT1/SLC19A3/TTPA/AOX1/CYP11A1/CYP1A1/ALDH1L1/GC/MMUT/CBR1/PDXK/CYP3A4/AMN/CRABP1/BTD/SLC23A1/CYP4F11/PC/PCCA/SHMT1/CYP4F2/CYP4F12/CYP4F3/ENPP1/UGT1A4,48,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0046942,carboxylic acid transport,78/2134,284/18862,3.9411457970171145e-14,1.3826032099160663e-11,1.1862330277206115e-11,SLC13A2/SLC7A9/ABCC2/CASR/MPC1/SYT1/SLC6A15/LLGL2/CEACAM1/SLCO1A2/SLC26A4/ABCC6/SLC7A8/PLA2G3/AVP/OXT/SLC25A15/RAB3A/FOLR1/FOLR3/SLC26A8/SLC19A2/SLC16A7/SLC17A1/SLC7A10/NR0B2/NMUR2/STRA6/PLA2G12B/SLC13A5/SFXN5/SLC25A38/SLC26A1/SLC22A3/SLC16A2/SLC26A7/NTRK2/SLC5A12/SLC43A1/DRD2/SLC22A9/GRM1/PLA2R1/SLC7A7/SFXN2/SLC13A3/ACE/SLC6A20/GRM2/NPY5R/SLC7A13/SLC16A9/SLC27A4/SLC43A2/SLC3A2/BDKRB2/PLA2G4F/UMOD/SLC16A5/SLC23A1/SLC22A13/SLC16A11/SLC16A13/SLC26A9/KCNJ10/AGTR2/SLC25A18/SLC25A10/CYP4F2/SLC51B/SLC36A2/CYP4A11/SLC38A3/SLC6A17/SLC25A29/SLC22A6/SLC26A6/SLC10A5,78,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0055067,monovalent inorganic cation homeostasis,54/2134,161/18862,5.2457002744200575e-14,1.732006802371752e-11,1.486011068450264e-11,SLC4A1/PDK2/TAC1/TFAP2B/ATP6V1H/NEDD4L/SLC4A8/SLC9A3/SLC12A3/SLC12A1/ATP12A/SLC4A4/SLC26A4/AVP/OXT/CA2/ATP6V0A4/ATP5F1B/SCNN1A/C7/SLC4A9/ATP6V1A/SLC4A3/SLC9A2/ATP6V1B1/ATP1B2/SCN7A/TTPA/SLC12A6/RHCG/ATP1B1/ATP6V1C2/ATP6V0D2/DRD2/ATP6V1G3/ATP1A1/SCNN1G/SCNN1B/CA7/UMOD/ATP6V0E2/KCNJ10/AQP11/SLC9A4/AGTR2/SLC8A1/ATP6V0C/ATP4B/CYP4F2/CYP4F12/CYP4A11/GPR89B/ATP6V1G2/SLC26A6,54,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0008202,steroid metabolic process,85/2134,329/18862,1.2433073662042878e-13,3.877046803613703e-11,3.3263925148448044e-11,CYP26B1/NPC1L1/CYP24A1/ACAA1/DGAT2/HSD17B10/ACAT1/ACACB/OSBPL6/RDH8/SULT2B1/DHRS2/CUBN/PPARGC1A/SC5D/CYP27B1/VDR/BMP5/PRLR/FGF1/SCAP/HSD11B1/PROX1/APOA1/EPHX2/CAT/LDLR/APOE/CYP2E1/G6PC1/FMO5/FSHB/NR0B2/ANGPTL3/HMGCS2/PDGFRA/UGT2B28/CGA/HINT2/FDX1/CYP1B1/CYP2C9/SLC27A2/CYP11A1/CYP1A1/GC/CYP4V2/CYP39A1/EBP/CYP17A1/TM7SF2/UGT2B4/DHRS4/FGFR4/CYP3A4/CYP3A7/ATP1A1/SMPD1/SOAT2/ACOX2/PCSK9/SERPINA6/CEL/UGT2B7/DHCR7/UGT2A1/APOF/HSD11B2/CYP8B1/TSKU/SDR42E1/PBX1/CACNA1H/SULT1A2/CYP2B6/SLC22A24/SREBF2/HSD3B1/HSD3B2/MALRD1/UGT1A1/UGT1A7/UGT1A4/SRD5A2/DHRS11,85,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0001822,kidney development,76/2134,280/18862,1.6312796432243315e-13,4.819143493377985e-11,4.1346838602500356e-11,CYP26B1/HOXA11/TFAP2B/DCN/FOXC1/FGF10/PAX2/COL4A4/ARG2/WNT11/SIX4/BMP7/CTSH/CA2/CALB1/SFRP1/GLI3/GATA3/FGF1/SDC1/NPHS2/PROX1/TCF21/RDH10/CAT/PAX8/WNK4/GLIS2/MPST/ALDH1A2/FOXJ1/ASS1/RGN/SLC34A1/PDGFRA/TFAP2A/STRA6/FRAS1/SLIT2/ADAMTS16/KLHL3/GPC3/CER1/FREM2/PTPRO/WNT9B/ACE/NPHS1/CYP4A22/VANGL2/KLF15/HPGD/DACT2/RET/SERPINB7/AQP2/GDNF/NPNT/COL4A3/PCSK9/UMOD/IRX1/IRX2/PKHD1/PYGO1/OVOL1/AQP11/AGTR2/TACSTD2/WT1/PBX1/CYP4A11/MAGI2/WNT7B/MME/LHX1,76,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0072001,renal system development,77/2134,288/18862,2.656591984482563e-13,7.455725404450312e-11,6.396793857372487e-11,CYP26B1/HOXA11/TFAP2B/DCN/FOXC1/FGF10/PAX2/COL4A4/ARG2/WNT11/SIX4/BMP7/CTSH/CA2/CALB1/SFRP1/GLI3/GATA3/FGF1/SDC1/NPHS2/PROX1/TCF21/RDH10/CAT/PAX8/WNK4/GLIS2/MPST/ALDH1A2/FOXJ1/ASS1/RGN/SLC34A1/PDGFRA/TFAP2A/STRA6/FRAS1/LGR5/SLIT2/ADAMTS16/KLHL3/GPC3/CER1/FREM2/PTPRO/WNT9B/ACE/NPHS1/CYP4A22/VANGL2/KLF15/HPGD/DACT2/RET/SERPINB7/AQP2/GDNF/NPNT/COL4A3/PCSK9/UMOD/IRX1/IRX2/PKHD1/PYGO1/OVOL1/AQP11/AGTR2/TACSTD2/WT1/PBX1/CYP4A11/MAGI2/WNT7B/MME/LHX1,77,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0016053,organic acid biosynthetic process,85/2134,335/18862,3.6674717955673045e-13,9.80262818500918e-11,8.410367651488929e-11,ACSM3/AASS/MLXIPL/CPS1/OAT/ACSM2B/HSD17B10/HACD3/ACACB/OSBPL6/CEACAM1/PHGDH/ACOT7/UPB1/GGT1/PLA2G3/GGTLC2/AVP/LIPG/FA2H/PTGDS/APOC3/AGXT2/SCAP/CTH/AKR1A1/ABCD3/PROX1/APOA1/ALDH8A1/GOT1/EPHX2/RDH10/GOT2/GAD1/ALDH1A2/CDO1/ACSBG2/CYP2E1/ASS1/RGN/ACSS2/BHMT2/FOLH1B/PSAT1/CYP2C9/SDSL/SLC27A2/CYP1A1/PKLR/GADL1/SCD5/BHMT/CYP39A1/OLAH/CBR1/CBS/FGFR4/CYP3A4/NAGS/CYP4A22/LIPH/HPGD/GPT2/LDHC/GPT/GGT6/ACOX2/PLA2G4F/PAH/GATM/CYP4F11/AGXT/FADS6/SHMT1/SEPHS2/CYP8B1/ADI1/ACSM2A/NAT8L/CYP4A11/MALRD1/MIR204/HOGA1/CBSL,85,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0098659,inorganic cation import across plasma membrane,38/2134,97/18862,1.2383090936262461e-12,3.0220125837061387e-10,2.5927982166316127e-10,WNK1/SLC9A3/SLC12A3/SLC12A1/ATP12A/HCN2/SLC9A2/WNK4/TRPV5/ATP1B2/FAM155B/TRPM4/SLC34A1/SLC31A1/HCN4/SLC39A5/SLC12A6/SLC5A2/ATP1B1/SLC39A4/KCNJ1/KCNJ16/SLC24A2/KCNJ6/KCNJ15/KCNE2/KCNJ9/ATP1A1/TRPV6/WNK2/KCNJ10/SLC9A4/SLC8A1/KCNJ12/ATP4B/KCNJ11/WNK3/TRPV1,38,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0099587,inorganic ion import across plasma membrane,38/2134,97/18862,1.2383090936262461e-12,3.0220125837061387e-10,2.5927982166316127e-10,WNK1/SLC9A3/SLC12A3/SLC12A1/ATP12A/HCN2/SLC9A2/WNK4/TRPV5/ATP1B2/FAM155B/TRPM4/SLC34A1/SLC31A1/HCN4/SLC39A5/SLC12A6/SLC5A2/ATP1B1/SLC39A4/KCNJ1/KCNJ16/SLC24A2/KCNJ6/KCNJ15/KCNE2/KCNJ9/ATP1A1/TRPV6/WNK2/KCNJ10/SLC9A4/SLC8A1/KCNJ12/ATP4B/KCNJ11/WNK3/TRPV1,38,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0001655,urogenital system development,80/2134,320/18862,4.126594209117939e-12,9.376604764260486e-10,8.044852043937796e-10,CYP26B1/HOXA11/TFAP2B/DCN/FOXC1/FGF10/PAX2/COL4A4/ARG2/WNT11/SIX4/BMP7/CTSH/CA2/CALB1/SFRP1/GLI3/GATA3/FGF1/SDC1/NPHS2/PROX1/TCF21/RDH10/CAT/PAX8/WNK4/GLIS2/MPST/ALDH1A2/FOXJ1/ASS1/RGN/SLC34A1/PDGFRA/TFAP2A/STRA6/FRAS1/LGR5/SLIT2/ADAMTS16/KLHL3/GPC3/CER1/FREM2/PTPRO/WNT9B/ACE/NPHS1/CYP4A22/VANGL2/KLF15/HPGD/DACT2/RET/SERPINB7/AQP2/GDNF/NPNT/COL4A3/PCSK9/UMOD/IRX1/IRX2/PKHD1/PYGO1/OVOL1/AQP11/PSAPL1/GATA2/AGTR2/PLAG1/TACSTD2/WT1/PBX1/CYP4A11/MAGI2/WNT7B/MME/LHX1,80,RNAseq_Negative_LogFC-1_pvalue0.05.csv
