external_gene_name,logFC_rna,padj_rna,CpG_Beta_diff,logFC_meth,padj_meth,ensembl_gene_id,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,RG1_All_filtered,RG2_Changes_filtered,RG3_Translation_filtered,RG4_Detection_filtered,Methylation,RNA,Protein,RG1_All,RG2_Changes,RG3_Translation
ATP6V1C2,-3.17937500737003,0.0,-0.0784093721914847,-1.86883967319273,1.18360876931552e-63,ENSG00000143882,245973.0,ATP6V1C2,-1.45916624164772,1.94375051999982e-65,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
ATP1A1,-2.55794356904418,0.0,0.232871738382138,1.55889950701579,1.19793120254887e-24,ENSG00000163399,476.0,ATP1A1,-1.21245913046568,3.18189216674113e-63,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
CD70,8.47405057836369,0.0,-0.0375429196802378,-0.921357782647951,1.2195612198978301e-58,ENSG00000125726,970.0,CD70,2.023762831307,1.6660285217702302e-61,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
CDKN2A,4.62735307109285,0.0,0.0901949973716567,0.895424601161341,2.98851829413282e-23,ENSG00000147889,1029.0,CDKN2A,0.472491724006696,4.63391832171664e-28,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
SEMA5B,4.20129691812891,0.0,-0.1724582201751094,-2.12035328969465,3.58403106593031e-54,ENSG00000082684,54437.0,SEMA5B,2.16740587678293,2.09641293175374e-67,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SLC16A3,3.52822817780167,0.0,-0.4734215131042977,-3.409406381074,6.51866952113915e-129,ENSG00000141526,9123.0,SLC16A3,1.92133391585761,6.77757711118699e-90,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SMIM5,-3.38706803154154,0.0,0.3137201281798341,4.25426830690857,1.14016580813574e-107,ENSG00000204323,643008.0,SMIM5,-0.44088519836989,6.85442572068902e-61,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS,MDS,Hypermethylation,RNA DOWN,Protein significant-negative,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS
IGFBP3,4.18315446737851,0.0,-0.1498090774930476,-1.20958345805806,6.04945555733335e-24,ENSG00000146674,3486.0,IGFBP3,0.945397432979458,9.86266483263135e-45,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
TNFAIP6,7.07923972386178,0.0,-0.4638985458361135,-3.16048884175831,1.06209394682999e-105,ENSG00000123610,7130.0,TNFAIP6,1.41474560709577,4.25348984101946e-52,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
FABP6,7.99336027806197,0.0,-0.1676977277727124,-1.12393767760829,1.5396563444088105e-58,ENSG00000170231,2172.0,FABP6,1.61072140474264,4.487200531701e-28,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
P2RX7,3.06474102200691,0.0,-0.2661818752248257,-2.09764315403163,2.23368220801071e-87,ENSG00000089041,5027.0,P2RX7,1.33364837468537,2.1153710304500398e-55,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
CDCA2,6.08260284896616,0.0,-0.0480212307305011,-0.319447291117915,0.0003876440564484,ENSG00000184661,157313.0,CDCA2,0.328081424985055,6.7986393334757415e-09,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
TREM2,4.7465137665352,0.0,-0.1797841992294795,-1.077509086147,3.46013999592455e-45,ENSG00000095970,54209.0,TREM2,0.60259916816493,2.2367538510272e-38,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
NDUFA4L2,7.57147577153736,0.0,-0.2630984424310987,-2.24786378773758,2.3255958603887797e-78,ENSG00000185633,56901.0,NDUFA4L2,3.1772608594031,1.1279360484506397e-92,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
VIM,2.83993873901028,3.14770780449066e-302,-0.2777691211046086,-2.67568281070737,8.26920254361335e-74,ENSG00000026025,7431.0,VIM,1.00121525590316,2.1525423142250906e-74,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
LARS2,-1.23656438279695,1.1116606085733898e-296,-0.1664309179686297,-1.18765282705251,3.0116715847719403e-61,ENSG00000011376,23395.0,LARS2,-1.0404303920973,5.51299630480633e-75,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
ACAA1,-2.69806191678191,2.66155140156542e-292,-0.1235319421966312,-1.53107062678606,1.1836690815852101e-23,ENSG00000060971,30.0,ACAA1,-1.34836161184406,1.26320476176462e-59,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
NPTX2,8.97210336998519,8.16983342300683e-285,0.1663087842446687,1.11654560214979,7.63347302390896e-37,ENSG00000106236,4885.0,NPTX2,1.35109278796596,2.01201799520938e-41,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE,TPDE,Hypermethylation,RNA UP,Protein UP,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE
ST8SIA4,3.65215601020626,2.22897868361143e-282,-0.0998200069244218,-1.44888123037848,3.1736232107858203e-25,ENSG00000113532,7903.0,ST8SIA4,0.332579364736907,7.85474547648877e-06,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
HADH,-2.53553475583128,6.80290194206715e-280,,,,ENSG00000138796,3033.0,HADH,-1.30146655465353,6.7503677272201205e-68,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
STAMBPL1,2.49905944804635,1.1118657868107e-279,-0.5516382730036468,-3.77469871704071,1.35794131612656e-115,ENSG00000138134,57559.0,STAMBPL1,0.835518170921731,7.61532717438745e-65,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
TMSB10,2.64851230758824,1.01775335671957e-277,0.0351984126284986,0.656900159020362,7.6673652600815395e-22,ENSG00000034510,9168.0,TMSB10,1.429133466379,6.149672433368451e-85,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
MFSD4A,-4.09192856720316,1.90563050190688e-276,-0.1450144905811971,-1.02838633069368,2.81849305264594e-26,ENSG00000174514,148808.0,MFSD4A,-1.99713339230327,4.16638398943967e-52,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
ENO2,4.1715490330815,1.02993270925134e-270,-0.1282836887247918,-1.09054314019183,5.1314249035262e-28,ENSG00000111674,2026.0,ENO2,1.93263091172384,2.1312602134273003e-77,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
NOL3,2.95949416110252,9.69709073136904e-269,-0.3441791977641441,-3.62516644285094,1.98556389782394e-103,ENSG00000140939,8996.0,NOL3,1.5015619069879,1.15067545302737e-72,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
DIRAS2,4.39381384865383,1.48286837695938e-267,-0.1903369707721972,-1.5613514419905,1.18333358287848e-26,ENSG00000165023,54769.0,DIRAS2,0.0490863461144869,0.280664881399008,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None,MDE_TMDS,Hypomethylation,RNA UP,Protein not-significant,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None
ENPP3,4.3705314299123,4.9330182996754897e-265,-0.2260514937438332,-1.86498149383663,1.11981872447801e-53,ENSG00000154269,5169.0,ENPP3,1.31356487872188,7.05633642004638e-58,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
TLR3,2.51785134237015,9.0055858556992e-264,,,,ENSG00000164342,7098.0,TLR3,1.0070462843102,2.4576976937145e-55,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
GPD1L,-1.9387691080462,1.41985081435455e-263,,,,ENSG00000152642,23171.0,GPD1L,-1.19327778657267,3.17532332453288e-85,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
HK2,4.58277035416368,1.73985872968793e-262,-0.2775926739411781,-1.76358133765801,4.7159675636558e-91,ENSG00000159399,3099.0,HK2,1.75928360666624,1.51479615258487e-79,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
BHLHE41,3.54384673060866,4.569113695094701e-261,-0.28888841477312,-2.02331354081256,3.0947212981858e-71,ENSG00000123095,79365.0,BHLHE41,0.81709684548494,4.1325504584422297e-26,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
PFKFB4,3.24409174322078,2.0035385197122503e-260,-0.1958585006574384,-2.54270666107035,2.56614347211298e-95,ENSG00000114268,5210.0,PFKFB4,0.35817046625914,2.3372606921050695e-11,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
BRCA2,2.49456462711146,1.7942799458930798e-256,0.0333487972969833,0.73363840731269,7.61892627420874e-20,ENSG00000139618,675.0,BRCA2,0.192551841696093,1.1131419102604799e-34,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
DDB2,1.99131464873496,1.79639356701828e-256,-0.0241157043735315,-0.502581338833662,3.00019779353609e-05,ENSG00000134574,1643.0,DDB2,1.1705976406478,1.00745835405799e-71,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
CALB1,-5.98200181343711,1.91173186702324e-253,,,,ENSG00000104327,793.0,CALB1,-2.23736384691295,8.087464750474662e-60,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
SUCLG1,-2.22216608661816,7.154915565926708e-250,,,,ENSG00000163541,8802.0,SUCLG1,-1.19727448639578,8.325782286401509e-70,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
SFXN2,-3.08393738389556,2.70982805092653e-245,,,,ENSG00000156398,118980.0,SFXN2,-1.39470878341124,4.6168803088129786e-55,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
PAG1,2.01409464831137,1.66479041218679e-243,-0.4279594072345333,-2.89742220812822,4.20528522388025e-105,ENSG00000076641,55824.0,PAG1,0.777193829557714,9.2725942320947e-52,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ESM1,3.87180090825093,5.01090596332104e-240,0.1872199824380168,1.16712019209952,2.62514747427942e-26,ENSG00000164283,11082.0,ESM1,1.44848952401676,3.1053342213490098e-49,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE,TPDE,Hypermethylation,RNA UP,Protein UP,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE
AHNAK2,4.9497524776448,1.38627920328156e-239,-0.3000681757485004,-2.17009197621191,4.50402962709481e-75,ENSG00000185567,113146.0,AHNAK2,1.75481107818717,3.0318093152218e-56,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ESRRB,-4.97891657915464,9.7583481063328e-239,-0.3342750961141424,-2.46300170231946,8.24542819811452e-106,ENSG00000119715,2103.0,ESRRB,0.0114009464998561,0.845371309291842,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None,TPDS_TMDE,Hypomethylation,RNA DOWN,Protein not-significant,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None
RALGPS1,-2.34131189492082,6.83309705878137e-236,-0.0757046729756406,-1.07871096383431,7.93999358619775e-42,ENSG00000136828,9649.0,RALGPS1,-0.175217594390508,0.0026481407744684,Methylation No change + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS,TPDS,Methylation No change,RNA DOWN,Protein significant-negative,Methylation No change + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS
PFKP,2.71314552997737,3.93492333711088e-231,-0.2320876236287384,-4.37962344378794,3.3609209888630496e-179,ENSG00000067057,5214.0,PFKP,1.69273591873427,3.35840347991645e-93,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
APEH,-1.4055428911431,2.10713371653133e-230,0.2059545345097704,1.25315911306938,1.32426255180356e-52,ENSG00000164062,327.0,APEH,-0.519029349056507,3.58266605169384e-47,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
VWF,3.78590056303782,1.0421244919622497e-229,-0.3352550791436604,-2.91553084630631,1.00894671789095e-88,ENSG00000110799,7450.0,VWF,1.08887176195613,1.07505922791175e-46,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
TRPV2,2.31813515259557,5.73861219246662e-229,-0.3692753075671947,-2.47843906032116,3.7275070217004105e-68,ENSG00000187688,51393.0,TRPV2,0.963113339326383,2.38989933891921e-73,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
GAL3ST4,3.27932598612138,4.84271904650666e-227,-0.2078651108724689,-1.45799355635509,6.96732386336095e-84,ENSG00000197093,79690.0,GAL3ST4,0.768448814558576,1.3110175917218e-43,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
FCGR3A,3.88431255703587,9.13593896054125e-223,-0.2359140656250333,-1.53247411947984,4.03380748443636e-75,ENSG00000203747,2214.0,FCGR3A,1.51422228810046,4.62580380969837e-68,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ZNF395,2.87260426532333,1.31687323570076e-221,-0.3415707504463571,-2.89087535072478,1.62861279305177e-69,ENSG00000186918,55893.0,ZNF395,0.641740221742779,6.21601912230522e-48,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ARHGAP22,2.8514450258985,5.39443042250621e-221,-0.3193320551237998,-2.05262753428045,1.5795546587374e-72,ENSG00000128805,58504.0,ARHGAP22,1.09965180055686,4.69581536444171e-45,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
RECQL,1.30699211563659,5.39443042250621e-221,-0.2195676504341282,-2.30517613934805,8.0108617387863e-58,ENSG00000004700,5965.0,RECQL,0.760021833872708,2.91478900513825e-79,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SLC15A4,2.059655320677,5.58955891970037e-217,-0.447274913588601,-3.30532648872414,3.37576578636525e-106,ENSG00000139370,121260.0,SLC15A4,0.812493418434617,1.00581633571701e-41,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ANGPTL4,5.08358979068162,3.79681629942016e-216,-0.1059159066870881,-1.24773951899013,7.003212364666759e-57,ENSG00000167772,51129.0,ANGPTL4,1.4646405055078,4.26754724233662e-61,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
TBXAS1,1.89130731180874,2.3343622369954303e-211,-0.1575067133594457,-0.993564177936453,1.274788801361e-28,ENSG00000059377,6916.0,TBXAS1,1.0133761716409,3.08413670726166e-71,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
PNCK,7.23644657857475,4.00617600913645e-211,-0.1822788770061207,-1.63127947432142,5.90457142793921e-20,ENSG00000130822,139728.0,PNCK,1.38986117943186,3.19305716009083e-52,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
MT-CYB,-3.4160864566645,4.24465307496725e-211,,,,ENSG00000198727,4519.0,MT-CYB,-0.157821397473699,0.0006002260401361,Methylation No change + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS,TPDS,Methylation No change,RNA DOWN,Protein significant-negative,Methylation No change + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS
SLC26A7,-5.08133482818025,3.57155800014896e-209,-0.240451871121219,-2.20626192047787,6.6619900752416e-88,ENSG00000147606,115111.0,SLC26A7,0.0959718242838295,0.111410213901121,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None,TPDS_TMDE,Hypomethylation,RNA DOWN,Protein not-significant,Hypomethylation + RNA DOWN + Protein not-significant,TPDS_TMDE,None
MLKL,1.86716474304264,9.93586850928359e-209,-0.3382788449855052,-2.17607364063328,1.05987628918004e-70,ENSG00000168404,197259.0,MLKL,0.990083032409169,2.5333393627935e-73,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
HSF4,3.75172607276275,3.7599319420955e-208,-0.2178367804221811,-1.54439468925493,2.2010271869317e-44,ENSG00000102878,3299.0,HSF4,0.27022783746127,3.99434508145087e-28,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
TCAF2,2.28640259720581,1.27973863615153e-207,,,,ENSG00000170379,285966.0,TCAF2,0.792971833872709,7.09367186842351e-54,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
ELMO1,2.02207207677885,1.3686930660751e-206,-0.2085280989613059,-1.75854572638782,1.17730452187989e-68,ENSG00000155849,9844.0,ELMO1,0.755564706612189,5.284644326434201e-61,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SLC1A4,1.73301630103906,1.9648261272401998e-205,-0.107755625341239,-0.739381483288302,5.06761109838988e-18,ENSG00000115902,6509.0,SLC1A4,1.01528374805226,2.03058033801963e-66,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ENPP6,-5.92266684879244,2.23485407905556e-205,-0.1125278284289114,-1.6641004351441,4.1553283096693203e-85,ENSG00000164303,133121.0,ENPP6,-1.79966211567087,3.63360956313951e-64,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
IDO1,4.56842012816642,6.41098640284836e-205,,,,ENSG00000131203,3620.0,IDO1,1.38162931527491,5.46480761665696e-52,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
LAMA4,3.08618731366016,9.824749633547913e-205,,,,ENSG00000112769,3910.0,LAMA4,1.05607318754374,1.21909271261262e-48,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
INPP5J,-4.31224098050164,1.09306676563488e-204,-0.0519110928131032,-0.66652017127847,8.18489053024584e-37,ENSG00000185133,27124.0,INPP5J,-0.983683262194074,2.39933852364993e-31,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
PFKFB2,-2.57140711033537,9.16092297570884e-204,,,,ENSG00000123836,5208.0,PFKFB2,-1.23748339206521,3.8931973869291605e-67,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
CAV1,3.10962705477002,6.17218011797541e-202,-0.4726919517992299,-3.21262595665729,9.30930721040557e-115,ENSG00000105974,857.0,CAV1,1.37576115330852,8.75518832820064e-65,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
