id,external_gene_name,Regulation_Grouping_2,Integrated padj (Stage IV-Stage I),Integrated pval (Stage IV-Stage I),Integrated diff (Stage IV-Stage I),mannwhitneyu stat (Stage IV-Stage I),Integrated mean (Stage I),Integrated mean (Stage IV),Protein-LogFC mean (Stage IV-Stage I),RNA-LogFC mean (Stage IV-Stage I),CpG-LogFC mean (Stage IV-Stage I),hgnc_symbol,entrezgene_id,Locus,logFC_rna,padj_rna,CpG_Beta_diff,padj_meth,logFC_protein,padj_protein
ENSG00000023171,GRAMD1B,TPDS_TMDE,0.28606781968532274,0.1551212825054215,-0.010674476623535156,178.0,1.2262886,1.2156141000000003,0.20212479760205795,1.278869823541489,0.0,GRAMD1B,57476.0,0,-2.13145103933293,5.86260672476335e-67,0.0,1.0,-0.33107517107764806,5.438630005649259e-12
ENSG00000023330,ALAS1,TPDS_TMDE,0.03035105295795625,0.0022015200384996434,-0.19410103559494016,94.0,1.1789851,0.9848841,0.20152991388735128,0.06785335800209091,0.0,ALAS1,211.0,0,-1.019283407371,1.8217182122637897e-128,0.0,1.0,-0.252359562216876,2.0369601805112102e-10
ENSG00000027644,INSRR,TPDS_TMDE,0.2712748969581646,0.14003133765516526,0.22661614418029785,175.0,-1.1459882,-0.9193720999999999,0.0,0.3990901402781191,0.006800663101678336,INSRR,3645.0,cg20673279,-3.8808410089665895,9.950962650203339e-50,-0.0124838493408684,2.3340819712937898e-15,0.0,1.0
ENSG00000035720,STAP1,TPDS_TMDE,0.28207465839431906,0.1499763148505006,0.056414365768432624,177.0,1.1754171,1.2318314,0.16784100137174174,0.4193588141421416,-0.04151839264356355,STAP1,26228.0,cg04398282,-3.24222333276081,6.289468775020119e-100,-0.1356508822333646,9.65619387373579e-47,-0.36498352630948,2.2883528838865103e-15
ENSG00000036448,MYOM2,TPDS_TMDE,0.19739318940948064,0.07645510857409461,-0.09641659259796144,159.0,1.2242793,1.1278627,0.2080685363511674,-0.23608380705335066,-0.022203238893844457,MYOM2,9172.0,cg09584650,-1.90546936632271,3.4194080572759094e-87,-0.3047257575074934,7.61687817467504e-42,-0.14910237924008402,0.0070445533592929
ENSG00000041515,MYO16,TPDS_TMDE,0.3757538307269522,0.2669969121151372,0.0942707061767578,196.0,0.033746433,0.12801714,0.0,0.3146523378319156,0.002902944882411218,MYO16,23026.0,cg27651090,-1.18666377757599,3.4408311666438596e-16,-0.1866806496837089,1.2335955048995498e-55,0.0,1.0
ENSG00000047597,XK,TPDS_TMDE,0.021055213248011045,0.0008697959539755357,0.4658238589763642,81.0,-0.18862572,0.27719814,0.0,1.0164144959651145,0.004491265179336873,XK,7504.0,cg01760227,-1.3123440572626899,5.92180805929159e-11,-0.1097000323013265,1.39322625518793e-10,0.0,1.0
ENSG00000047662,FAM184B,TPDS_TMDE,0.12592263106311913,0.031037268219782883,0.052562594413757324,139.0,1.2536893999999998,1.306252,0.062383703847626815,0.020167398693872633,0.16251256797805455,FAM184B,27146.0,cg07696699,-1.4312257352495101,1.0233325216443998e-87,0.0619626615509865,2.4390994809531e-16,-0.19588943813568696,2.9173036244190995e-37
ENSG00000047936,ROS1,TPDS_TMDE,0.28606781968532274,0.1551212825054215,0.15085381269454956,178.0,-0.22802840000000002,-0.07717458,0.0,0.4808563268048678,-0.039651221402132036,ROS1,6098.0,cg22785136,-1.6904802957067702,3.39171728222124e-05,-0.1152075203616751,4.566645774307819e-59,0.0,1.0
ENSG00000048540,LMO3,TPDS_TMDE,0.4548715675114578,0.409384410760312,0.02193586528301239,214.0,0.14234133,0.1642772,0.0,0.7403366151653771,0.18210195863124615,LMO3,55885.0,cg05355757,-1.33091064230261,1.2998293782065198e-21,-0.1022028170999366,1.10200389269571e-08,0.0,1.0
ENSG00000049089,COL9A2,TPDS_TMDE,0.2191754334948122,0.09338108258053618,-0.18441814184188846,164.0,1.1374543,0.9530360999999999,0.4941967970824945,0.4968945678967911,0.0,COL9A2,1298.0,0,-1.71238515214059,1.38546515680506e-36,0.0,1.0,0.345041522421482,0.0262525391316337
ENSG00000050438,SLC4A8,TPDS_TMDE,0.20442519342557214,0.08292176860079548,0.2741203308105469,161.0,-0.0440764,0.23004392,0.0,0.3030147029482416,-0.02503461748139291,SLC4A8,9498.0,cg01904393,-1.3679384025287,1.4067211647698695e-48,-0.29361324103008596,2.9470595550665795e-90,0.0,1.0
ENSG00000053108,FSTL4,TPDS_TMDE,0.4216484175476956,0.35127470278797457,-0.18109822273254395,207.0,-0.84730244,-1.0284007,0.0,-0.020695340656601943,0.08322338861805054,FSTL4,23105.0,cg25322094,-3.3690294480301803,7.0421990012276e-77,-0.2655479734343944,4.045032028953539e-39,0.0,1.0
ENSG00000053770,AP5M1,TPDS_TMDE,0.3212846399592738,0.19435458149649024,-0.06933057308197021,185.0,1.3519405,1.2826098999999997,-0.12739154118235999,-0.2983598516884233,0.006311826646045186,AP5M1,55745.0,cg11094161,-1.03424893865524,7.474761849856597e-144,-0.0220278783835829,1.12951846013252e-06,0.0304287471658815,0.23515211190117702
ENSG00000054598,FOXC1,TPDS_TMDE,0.3259904607049584,0.2004152621094568,-0.030043959617614743,186.0,1.1983131,1.1682692,-0.0606776754186906,0.3731493123252743,0.0,FOXC1,2296.0,0,-1.68016520986514,4.14474906127501e-68,0.0,1.0,-0.335905562565683,1.2240052791645e-16
ENSG00000056736,IL17RB,TPDS_TMDE,0.4328448025115183,0.3758434095047197,0.014062762260437012,210.0,1.3285588,1.3426216,-0.07732605555442518,-0.9422282373290992,0.05871775732659348,IL17RB,55540.0,cg05331498,-1.5049269465843,1.47584537079233e-17,0.0579434170597402,1.43483697476852e-10,-0.227970557863863,1.5251545518522498e-06
ENSG00000058335,RASGRF1,TPDS_TMDE,0.15572114131957707,0.04540038908894712,-0.5917667746543884,147.0,-0.10296779,-0.6947346,0.0,-0.7395831876213097,-0.028407097749920063,RASGRF1,5923.0,cg13403566,-1.97091035808281,7.05195553599045e-53,-0.13731615703171,1.1666200476746702e-47,0.0,1.0
ENSG00000058404,CAMK2B,TPDS_TMDE,0.02731097251831214,0.0017886763691570625,-0.24250084161758426,91.0,1.2172374,0.9747365,-0.057170602134174464,0.34930810945098045,0.0,CAMK2B,816.0,0,-1.59578906425403,6.59134445214882e-15,0.0,1.0,-0.26003898185873797,6.91832184852524e-07
ENSG00000060237,WNK1,TPDS_TMDE,0.021055213248011045,0.0008697959539755357,0.3023243546485901,81.0,0.9039294,1.2062538,0.1041186351165968,0.6890081626723227,-0.21622862812693694,WNK1,65125.0,cg21230547,-1.19201102122857,3.782792826048819e-91,-0.1940877894331294,3.0840214550126896e-49,0.267283143953014,7.60782460315801e-39
ENSG00000060709,RIMBP2,TPDS_TMDE,0.4216484175476956,0.35127470278797457,0.027306735515594482,207.0,-0.8109246,-0.78361785,0.0,0.08355400091613108,-0.010682209814124209,RIMBP2,23504.0,cg15001406,-3.95420198620088,7.440740391472699e-94,-0.4041336609558378,2.3232911523077083e-82,0.0,1.0
ENSG00000062282,DGAT2,TPDS_TMDE,0.03757690697539925,0.0035195272026254227,0.45067191123962397,101.0,-0.08553149,0.36514040000000003,0.0,0.6848570531639726,-0.03241122247297247,DGAT2,84649.0,cg24262691,-1.01122468330664,9.514893438544269e-10,-0.0939706476605832,6.310016419752392e-46,0.0,1.0
ENSG00000063127,SLC6A16,TPDS_TMDE,0.4632918304688654,0.42642424114282185,0.21430496871471405,216.0,-0.09840491,0.11590006,0.0,0.3915516781239442,0.01695286953033652,SLC6A16,28968.0,cg10186564,-1.09574166522925,1.80844816332335e-13,-0.1111941801545616,5.4487533912063605e-73,0.0,1.0
ENSG00000065717,TLE2,TPDS_TMDE,0.3942820016786845,0.30404140270292923,-0.017305612564086914,201.0,1.1757468,1.1584412,0.1351458943758579,-0.6209553676929174,-0.024523772873249583,TLE2,7089.0,cg07933682,-1.312079299141,3.8108437498440997e-42,-0.1256717922112461,2.5904615760531398e-27,-0.0827642994126821,0.0093717010161936
ENSG00000066032,CTNNA2,TPDS_TMDE,0.021055213248011045,0.00034529470752152585,-0.13975471258163452,69.0,0.98827004,0.84851533,0.07691763097712445,0.37487791149575866,0.0,CTNNA2,1496.0,0,-1.7289724135276499,1.1468108725425501e-10,0.0,1.0,-0.29769827320081604,1.3270723009468099e-27
ENSG00000066382,MPPED2,TPDS_TMDE,0.02209016909071427,0.0011667342829602607,-0.16527283191680908,85.0,1.2857709,1.1204981,0.06130722964450953,-0.5776575251063565,0.0,MPPED2,744.0,0,-2.94086546802148,1.1398223620793098e-104,0.0,1.0,-0.486618530657656,3.752625501324969e-35
ENSG00000067842,ATP2B3,TPDS_TMDE,0.1619419785381706,0.049723030030029834,-0.09442830085754396,149.0,1.1622078000000002,1.0677795,-0.15545254447240953,0.12687249316572954,-0.08557312016072971,ATP2B3,492.0,cg08719422,-2.5505667704045,1.94918992293613e-16,-0.3267539162911528,8.874445284900458e-54,0.5483430749836821,1.8839163015232398e-16
ENSG00000069018,TRPC7,TPDS_TMDE,0.4956472692261204,0.4956472692261204,-0.05261743068695069,225.0,-0.7480939999999999,-0.80071145,0.0,-0.03881658768498397,-0.163699229337143,TRPC7,57113.0,cg00118989,-3.43390299891235,9.40279990561329e-65,-0.2347942800289438,4.0815933456519796e-36,0.0,1.0
ENSG00000069206,ADAM7,TPDS_TMDE,0.06354776618316538,0.00895038960326273,0.2764931321144104,116.0,-0.15578161,0.12071153,0.0,0.6134371431346236,-0.00616073215582319,ADAM7,8756.0,cg08383526,-1.20378013953669,0.0001991184637388,-0.1276828520827846,3.2269424645431794e-57,0.0,1.0
ENSG00000069966,GNB5,TPDS_TMDE,0.05847542442120585,0.00794771613612164,-0.1672898530960083,114.0,1.388966,1.2216761,0.1668319948538054,0.27125149109475893,0.005554424686401063,GNB5,10681.0,cg11841246,-1.2693806817725302,2.797831802023939e-152,-0.0683353936675953,1.9833699650927797e-51,-0.26936217639277305,9.60271262171135e-16
ENSG00000070159,PTPN3,TPDS_TMDE,0.17594206779337046,0.059349472164101726,-0.10177433490753174,153.0,1.4727839,1.3710096,0.054476876543214425,-0.1360075314013549,0.0,PTPN3,5774.0,0,-1.06699194269792,3.77628245557171e-57,0.0,1.0,-0.273050010787489,1.08513914324732e-17
ENSG00000070182,SPTB,TPDS_TMDE,0.021055213248011045,0.001008277817510388,-0.17097043991088867,83.0,1.257188,1.0862174999999998,0.01935762825788689,-0.3703178465975117,-0.02199692404806408,SPTB,6710.0,cg22797773,-1.9587572906756001,1.3890809313261298e-58,-0.2161821675052865,5.4969040855899605e-68,1.18324776579168,2.1296349169672e-27
ENSG00000070388,FGF22,TPDS_TMDE,0.3807471992126987,0.2815384219530519,-0.07349296659231186,198.0,-0.024418832999999997,-0.09791180000000001,0.0,-0.019657129428951287,0.060654321464633086,FGF22,27006.0,cg22189019,-1.02654978481773,2.7945400943149895e-11,-0.0616691931976586,2.3786008888302204e-12,0.0,1.0
ENSG00000070731,ST6GALNAC2,TPDS_TMDE,0.3421518147421989,0.2192663038136627,-0.26518377661705017,189.0,-0.28063056,-0.54581434,0.0,-0.37762978011466203,-0.01937608629178171,ST6GALNAC2,10610.0,cg06150430,-1.8999918999365402,9.251955428292939e-52,-0.0659979055832251,3.02275775490775e-44,0.0,1.0
ENSG00000070985,TRPM5,TPDS_TMDE,0.4299676047448735,0.367592022648082,-0.06771618127822876,209.0,0.035024785,-0.032691397000000004,0.0,-0.0019081214651774372,0.03012386386314567,TRPM5,29850.0,cg02743674,-1.72245706003342,8.68446923943204e-26,-0.222178478035088,7.20197186340404e-64,0.0,1.0
ENSG00000071991,CDH19,TPDS_TMDE,0.117138653552777,0.02672741109232377,0.2497149109840393,136.0,-0.7083001999999999,-0.45858526,0.0,0.3662785181861882,-0.04038730729172764,CDH19,28513.0,cg15728909,-3.37967340372797,2.36421794375566e-20,-0.1011414076526391,2.3141467889235895e-13,0.0,1.0
ENSG00000075035,WSCD2,TPDS_TMDE,0.4672445109766918,0.4349980588106948,0.07200536131858826,217.0,-0.50564337,-0.433638,0.0,0.1641839177361628,-0.1097030291681173,WSCD2,9671.0,cg00736201,-2.15968748689862,2.83714729032843e-21,-0.2463776582112896,1.2613977287426397e-79,0.0,1.0
ENSG00000075290,WNT8B,TPDS_TMDE,0.2968154688076052,0.16575680758058514,0.11587115377187727,180.0,-0.09772991,0.01814125,0.0,0.1526186350961104,-0.10939515500273153,WNT8B,7479.0,cg07570687,-1.24791431117664,4.4064816680537694e-35,-0.1155753594921532,7.152942872071569e-28,0.0,1.0
ENSG00000075673,ATP12A,TPDS_TMDE,0.09798148686787186,0.01959629737357437,0.6112300753593445,130.0,-1.2435533,-0.6323232,0.0,1.1208720271631545,-0.0010454588905605133,ATP12A,479.0,cg23781398,-6.45472136314061,8.482066121285218e-72,0.0885027292555569,1.23694602321883e-36,0.0,1.0
ENSG00000075891,PAX2,TPDS_TMDE,0.02731097251831214,0.0017886763691570625,-0.18710410594940186,91.0,1.3532332,1.1661291,0.08943448010973504,-0.21242037792963744,0.0,PAX2,5076.0,0,-1.2401017135088601,5.3448563945317495e-18,0.0,1.0,0.19231938391466,6.77763083894633e-06
ENSG00000076382,SPAG5,TPDS_TMDE,0.4946068023685539,0.4869438800783369,-0.059237360954284675,223.0,1.317525,1.2582877000000001,-0.09268339917695463,0.3733341982094185,0.0018865761180367762,SPAG5,10615.0,cg06774283,-2.05935519680595,2.1005388438583597e-50,-0.1176031433349352,3.24439428962666e-33,0.024822078389067,0.583063362038811
ENSG00000076555,ACACB,TPDS_TMDE,0.10952302630432456,0.024141343122009568,-0.16362667083740234,134.0,1.2922777,1.128651,0.3290442592958531,-0.08274114490241202,0.011100575051077794,ACACB,32.0,cg23921871,-1.1302413526014499,1.9998372517506702e-58,-0.11716075560332401,6.524786774836239e-58,-0.16100859922500596,2.2018998689823302e-05
ENSG00000076826,CAMSAP3,TPDS_TMDE,0.08235100860365188,0.01415045499950074,-0.1798027753829956,124.0,1.4998764,1.3200736000000002,0.04742455598482048,-0.44360483872536616,0.06694208115406013,CAMSAP3,57662.0,cg03131092,-1.3858324397748203,3.4046849809561293e-40,-0.0289124015034528,0.0158715903190577,-0.45475002212220794,2.0329184515241597e-38
ENSG00000077942,FBLN1,TPDS_TMDE,0.3154925683035796,0.18840682952213766,-0.013324618339538574,184.0,1.180105,1.1667803999999997,0.2104843171007748,0.9635131871379984,0.007049661755588368,FBLN1,2192.0,cg07072704,-1.5633331602666398,2.7455709830765e-15,-0.0630181360518812,5.07466856976398e-07,-0.0796144910921949,0.115060284759831
ENSG00000078328,RBFOX1,TPDS_TMDE,0.1331237807781667,0.034218436608472416,0.4744961857795715,141.0,-1.0906166000000002,-0.6161204,0.0,0.3423032064843505,0.04095712144413216,RBFOX1,54715.0,cg02909809,-3.4038977868857403,5.57513921450183e-58,-0.2522246456438897,1.5172030763665596e-40,0.0,1.0
ENSG00000079101,CLUL1,TPDS_TMDE,0.4392075607371623,0.3841519650954617,-0.044892311096191406,211.0,-0.3524138,-0.3973061,0.0,0.09852806516415756,-0.10546024845985837,CLUL1,27098.0,cg23713900,-2.44769207095027,1.0304447561443798e-80,-0.1568346097403489,2.41384291820986e-43,0.0,1.0
ENSG00000079385,CEACAM1,TPDS_TMDE,0.3807471992126987,0.2815384219530519,0.05475020408630371,198.0,1.3246440000000002,1.3793942,-0.11221088088386494,-0.8725434409975614,-0.025683374297925138,CEACAM1,634.0,cg11811510,-1.5581900263721,1.34092275347198e-46,-0.1851502443027218,6.54938494940135e-30,-0.30659999927024106,1.1250076573432e-10
ENSG00000079557,AFM,TPDS_TMDE,0.021055213248011045,0.0005113992412359588,-0.5294167995452881,74.0,1.3557435,0.8263267,0.011568522964265804,0.1329129991829987,0.013622589144592448,AFM,173.0,cg00797183,-5.71636743882155,1.2598888992276097e-82,-0.0549250848937269,1.6177739653210099e-56,0.173347345525469,0.0123011022953779
ENSG00000080511,RDH8,TPDS_TMDE,0.2991035113856261,0.17124729208205214,0.24703675508499146,181.0,-0.5944094,-0.34737265,0.0,0.6468371217490679,0.0069077917048024845,RDH8,50700.0,cg25661884,-8.56992905725789,5.010355416477089e-69,-0.0671630818245324,1.66205074509059e-11,0.0,1.0
ENSG00000081051,AFP,TPDS_TMDE,0.021055213248011045,0.0005524486152845725,0.7672662734985352,75.0,-0.9881999,-0.22093359,0.0,0.7798320037545362,0.01915711111217208,AFP,174.0,cg02199826,-3.34325601314733,1.2465211121678197e-57,-0.0968789858230174,1.18237978706868e-43,0.0,1.0
ENSG00000081248,CACNA1S,TPDS_TMDE,0.2759033554482837,0.14494641067916875,-0.2852184772491455,176.0,-0.18294932,-0.46816778,0.0,-0.13023026635667584,-0.08209076627154112,CACNA1S,779.0,cg22815214,-2.04657795214992,1.9975921802840198e-26,-0.2864574312236874,8.751292535408439e-50,0.0,1.0
ENSG00000081803,CADPS2,TPDS_TMDE,0.4956472692261204,0.4956472692261204,-0.006213665008544922,225.0,1.3107427,1.3045291,-0.0770817353055131,-0.2443109827926695,-0.003162991957317146,CADPS2,93664.0,cg03368627,-1.00192089905834,4.912437225918e-71,-0.1393920859472882,8.312712929471382e-20,-0.30051215419349997,2.0508526681718e-30
ENSG00000082293,COL19A1,TPDS_TMDE,0.35029747120071664,0.2323804351204754,-0.1427556872367859,191.0,-0.28055048,-0.42330617,0.0,0.12942854860186606,0.012784123899383958,COL19A1,1310.0,cg00420895,-2.28993545589066,1.24625583144732e-32,-0.0412913012778759,1.31739069196952e-29,0.0,1.0
ENSG00000084453,SLCO1A2,TPDS_TMDE,0.16594620174745944,0.05200426744902779,0.2695407867431641,150.0,-0.2109778,0.058563,0.0,1.0804010303304596,-0.03497229000668842,SLCO1A2,6579.0,cg10832076,-1.05398134094286,0.0058976754438546,-0.2546427629439646,6.050087978426879e-43,0.0,1.0
ENSG00000085552,IGSF9,TPDS_TMDE,0.3154925683035796,0.18840682952213766,0.19588887691497806,184.0,0.04373821,0.23962708,0.0,0.3956583325780785,0.025490672694819142,IGSF9,57549.0,cg07379893,-1.2631476886783002,7.732394045360061e-19,-0.1242814649774607,1.19168811198358e-28,0.0,1.0
ENSG00000087510,TFAP2C,TPDS_TMDE,0.10952302630432456,0.024141343122009568,0.15940749645233154,134.0,1.5871428,1.7465503,-0.10833962825788697,1.0686604543254137,0.17352802603766512,TFAP2C,7022.0,cg12521353,-1.63940504579636,3.30804501472807e-08,0.0890461539883533,5.848948038727341e-31,0.251758447800552,0.0003181785416384
ENSG00000088280,ASAP3,TPDS_TMDE,0.03846057537429711,0.004008567010842234,0.1602330207824707,103.0,1.3526235,1.5128565,-0.04473597001048235,0.7293963149528044,-0.07186092155837838,ASAP3,55616.0,cg27447006,-1.16686879142477,1.5904517098468098e-26,-0.2470742195840318,5.939304046620751e-45,-0.48386417478291205,3.503989243648229e-26
ENSG00000088538,DOCK3,TPDS_TMDE,0.3299832027007781,0.20658807549365613,0.20625923573970795,187.0,-0.3524532,-0.14619397,0.0,0.3167872042509088,0.06606957920760591,DOCK3,1795.0,cg18501026,-1.95962503674009,8.574044749339719e-65,-0.0715481829113866,6.85745202534094e-14,0.0,1.0
ENSG00000088926,F11,TPDS_TMDE,0.4018192646364164,0.3194746125172635,0.0598139762878418,203.0,1.400203,1.460017,-0.04383315186159642,0.2002389494964154,0.0,F11,2160.0,0,-4.46076632413866,3.0606862293284292e-74,0.0,1.0,-0.42399926933137894,1.1576439825793e-11
ENSG00000089101,CFAP61,TPDS_TMDE,0.1331237807781667,0.034218436608472416,0.3187804818153381,141.0,-0.32387897,-0.005098486,0.0,0.2570039504839933,-0.12795624551268447,CFAP61,26074.0,cg11382945,-1.6327614308791798,7.93074640047351e-46,-0.2527858948949821,1.29515279580775e-39,0.0,1.0
ENSG00000089250,NOS1,TPDS_TMDE,0.2759033554482837,0.14494641067916875,-0.06253719329833984,176.0,1.2907274,1.2281902,-0.06202931412894325,-0.2923634584035937,-0.02251845121427265,NOS1,4842.0,cg02397205,-4.22433113989887,3.2605896413436092e-99,-0.23059259304511603,5.49135636644214e-48,-0.353406552798753,3.3808680277601103e-06
ENSG00000090512,FETUB,TPDS_TMDE,0.4794580744076831,0.4608875151876672,0.009542107582092285,220.0,1.1280181,1.1375601999999998,-0.09697978071414634,0.4985569619377008,0.0015034764000445287,FETUB,26998.0,cg15061231,-4.6564551862846395,2.5680565079786405e-32,-0.1837169028852789,1.3233266446590398e-72,0.0515817831412602,0.41078100377759097
ENSG00000090565,RAB11FIP3,TPDS_TMDE,0.1890092704913131,0.06748429587260264,-0.3297319114208221,156.0,0.18154964,-0.14818227,0.0,-0.17414956353067712,0.016695558522950738,RAB11FIP3,9727.0,cg09555736,-1.43987899526704,3.5121266309419304e-48,-0.2850615845404621,1.2509683103900898e-55,0.0,1.0
ENSG00000091137,SLC26A4,TPDS_TMDE,0.10373053096130752,0.02176880156793637,-0.2365502715110779,132.0,-0.6247718000000001,-0.86132205,0.0,-0.5656388518745503,-0.03421015396024901,SLC26A4,5172.0,cg20898273,-3.54542618263178,4.6717576817090984e-182,-0.1122222801621153,1.16203579765142e-38,0.0,1.0
ENSG00000091181,IL5RA,TPDS_TMDE,0.3807471992126987,0.2815384219530519,0.023498013615608212,198.0,0.18520607,0.20870408,0.0,0.1456258692431978,-0.054331142323014885,IL5RA,3568.0,cg25791578,-1.36349556401254,7.041073593197428e-22,-0.2037502961480657,1.2179768714532698e-60,0.0,1.0
ENSG00000091262,ABCC6,TPDS_TMDE,0.3757538307269522,0.2669969121151372,-0.4468083381652832,196.0,0.3671078,-0.079700515,0.0,-0.4868599406938383,0.059218878807730635,ABCC6,368.0,cg10024478,-1.5294296152854099,8.41516081742014e-27,-0.1179438593709784,1.2345158272648699e-17,0.0,1.0
ENSG00000091583,APOH,TPDS_TMDE,0.13633074596873196,0.03590683027627165,-0.1396268606185913,142.0,1.1109875,0.9713607,0.1600110906263104,1.5027210556817097,0.0496891292780233,APOH,350.0,cg16481618,-3.46706521350518,2.38980401599058e-30,-0.2233710818732798,1.5271484389211602e-44,-0.370470796724997,7.15034878066663e-10
ENSG00000091622,PITPNM3,TPDS_TMDE,0.4437659441879149,0.3925141027464938,-0.10079309344291687,212.0,0.22189006,0.12109697,0.0,0.32161059337317544,0.038908050754170025,PITPNM3,83394.0,cg06928695,-1.2896089797324801,1.3033881184571497e-70,-0.0930066185264317,1.10626461991455e-20,0.0,1.0
